oai:ecommons.cornell.edu:1813/29110	Cook, Robert
oai:ecommons.cornell.edu:1813/29112	Byrne, Sahara E.
oai:ecommons.cornell.edu:1813/29113	Wise, Frank William
oai:ecommons.cornell.edu:1813/29114	Collum, David B
oai:ecommons.cornell.edu:1813/29115	Koslowski, Barbara Marie
oai:ecommons.cornell.edu:1813/29116	Bodenschatz, Eberhard
oai:ecommons.cornell.edu:1813/29117	McNeal, Robin
oai:ecommons.cornell.edu:1813/29118	Hay, Anthony G.
oai:ecommons.cornell.edu:1813/29119	Gomez, Miguel I.
oai:ecommons.cornell.edu:1813/29120	Resnick, Sidney Ira
oai:ecommons.cornell.edu:1813/29121	Diamessis, Peter J.
oai:ecommons.cornell.edu:1813/29122	Morgan, Stephen L.
oai:ecommons.cornell.edu:1813/29123	Gomes, Carla P
oai:ecommons.cornell.edu:1813/29124	McLeod, Poppy L
oai:ecommons.cornell.edu:1813/29125	Shapiro, Michael A
oai:ecommons.cornell.edu:1813/29126	Bisogni Jr, James John
oai:ecommons.cornell.edu:1813/29127	Phipps-Morgan, Jason
oai:ecommons.cornell.edu:1813/29128	Gillespie, Tarleton L.
oai:ecommons.cornell.edu:1813/29129	Wittich, Peter
oai:ecommons.cornell.edu:1813/29130	Brown, Larry Douglas
oai:ecommons.cornell.edu:1813/29131	Lehmann, Christopher Johannes
oai:ecommons.cornell.edu:1813/29132	Bazarov, Ivan
oai:ecommons.cornell.edu:1813/29133	Muscalu, Florin Camil
oai:ecommons.cornell.edu:1813/29134	Gibson, Kathleen Joan
oai:ecommons.cornell.edu:1813/29135	Searle, Angela E.
oai:ecommons.cornell.edu:1813/29136	Eloundou-Enyegue, Parfait  M.
oai:ecommons.cornell.edu:1813/29137	Hemami, Sheila S
oai:ecommons.cornell.edu:1813/29138	Berest, Yuri
oai:ecommons.cornell.edu:1813/29139	Becker, Franklin David
oai:ecommons.cornell.edu:1813/29140	Sipple, John W
oai:ecommons.cornell.edu:1813/29141	Pass, Rafael N.
oai:ecommons.cornell.edu:1813/29142	Maurer, Kirk
oai:ecommons.cornell.edu:1813/29143	Xu, Chunhui
oai:ecommons.cornell.edu:1813/29144	Elliott, John Jack R.
oai:ecommons.cornell.edu:1813/29145	Johnson, Patricia A
oai:ecommons.cornell.edu:1813/29146	Lasansky, Diana Medina
