oai:ecommons.cornell.edu:1813/29174	Campbell, Mark
oai:ecommons.cornell.edu:1813/29181	Joachims, Thorsten
oai:ecommons.cornell.edu:1813/29236	Colucci, Stephen John
oai:ecommons.cornell.edu:1813/29274	Mao, Douglas
oai:ecommons.cornell.edu:1813/29310	McCouch, Susan Rutherford
oai:ecommons.cornell.edu:1813/29388	Abowd, John Maron
oai:ecommons.cornell.edu:1813/29391	Weatherspoon, Hakim
oai:ecommons.cornell.edu:1813/29428	Flecker, Alexander S
oai:ecommons.cornell.edu:1813/29495	Turvey, Calum G.
oai:ecommons.cornell.edu:1813/29502	Varner, Jeffrey D.
oai:ecommons.cornell.edu:1813/29532	Bretscher, Anthony Paul
oai:ecommons.cornell.edu:1813/30604	Collins, Ruth N.
oai:ecommons.cornell.edu:1813/30608	Resina, Joan Ramon
oai:ecommons.cornell.edu:1813/30624	Bento, Antonio Miguel R.
oai:ecommons.cornell.edu:1813/30643	Houston, Paul Lyon
oai:ecommons.cornell.edu:1813/30673	Deitcher, David Lawrence
oai:ecommons.cornell.edu:1813/30678	Reeve, Hudson Kern
oai:ecommons.cornell.edu:1813/30739	Bhojraj, Sanjeev
oai:ecommons.cornell.edu:1813/30742	Prasad, Eswar Shanker
oai:ecommons.cornell.edu:1813/30760	Cosley, Daniel R.
oai:ecommons.cornell.edu:1813/30784	Jarrow, Robert A.
oai:ecommons.cornell.edu:1813/30785	Abusch, Dorit
oai:ecommons.cornell.edu:1813/30973	Nishii, Lisa H.
oai:ecommons.cornell.edu:1813/30990	Topaloglu, Huseyin
oai:ecommons.cornell.edu:1813/31002	Topaloglu, Huseyin
oai:ecommons.cornell.edu:1813/31053	Peters, H. Elizabeth
oai:ecommons.cornell.edu:1813/31076	Gomez, Miguel I.
oai:ecommons.cornell.edu:1813/31105	Jarrow, Robert A.
oai:ecommons.cornell.edu:1813/31126	Butcher, Jonathan T.
oai:ecommons.cornell.edu:1813/31131	Roldan, Mary J.
oai:ecommons.cornell.edu:1813/31136	Kudva, Neema
oai:ecommons.cornell.edu:1813/31164	Boyer, Dominic C.
oai:ecommons.cornell.edu:1813/31169	Hull, Isabel Virginia
oai:ecommons.cornell.edu:1813/31170	Geisler, Charles C
oai:ecommons.cornell.edu:1813/31185	Turvey, Calum G.
