oai:ecommons.cornell.edu:1813/52,Archives or Assets?,"This paper discusses the nature of ownership of archival holdings, with special emphasis placed on issues of intellectual property, and the implications such ownership may have on the exploitation of those works. In order to respect the public?s interest in archival materials, licensing schemes must be skillfully crafted. If archives are careful not to compromise their own fundamental values when seeking to generate revenue, and if they respect the public?s interest in public domain material, they will be able to avoid much of the criticism that many museums have received over their jealous attempts to monopolize and control their collections.","Hirtle presented an abbreviated version of this address as his presidential address at the opening plenary session of the 67th annual meeting of the Society of American Archivists in Los Angeles on Aug. 21, 2003.",text/html,Article
oai:ecommons.cornell.edu:1813/53,Digital Preservation and Copyright,"This article discusses provisions in US Copyright law which regulate the preservation of digital materials.  In particular, Hirtle examines Sections 117, 108 and 107.  Hirtle also looks at ongoing efforts to archive the World Wide Web and the various copyright issues that surround these efforts. Last, Hirtle examines how recent rulemaking from the Librarian of Congress concerning DMCA impacts digital preservation.",,text/html,Article
oai:ecommons.cornell.edu:1813/58,"Unpublished Materials, New Technologies, and Copyright: Facilitating Scholarly Use","The paper is divided into three parts.  The first part explores why, at least with regard to the use of unpublished materials, current interpretations of copyright law have become an impediment to creative endeavors rather than an encouragement to them. Two factors are at work. The first factor is that copyright law imposes on unpublished materials a set of rules and viewpoints meant to govern published material. The second factor that has made the use of unpublished material more problematic is the rise of the Internet and the ease with which people can uncover potential infringing acts. Technology has not changed the law, but it has affected how people interpret the law ? with potentially disastrous results as far as unpublished material is concerned. The second part of the paper considers one possible solution advanced by the Copyright Office to address the problem of what they call ?orphan works? ? works whose copyright owner cannot be located.  The last part of the paper considers what might constitute reasonable investigation of the copyright ownership of unpublished works. It may be that the standard for reasonable investigation would be enough to establish a fair use defense of the material, obviating the need for compulsory payments.","Presented at the Interdisciplinary Conference On The Impact Of Technological Change On The Creation, Dissemination, And Protections Of Intellectual Property, The Ohio State University College of Law, Columbus, OH. March 8-10, 2001.",application/pdf,Article
oai:ecommons.cornell.edu:1813/175,Workshop on 'Sustainable Models for University-based Scholarly Publishing',"Agenda for the Workshop on 'Sustainable Models for University-based Scholarly Publishing' from June 01, 2004.",,application/pdf,Article
oai:ecommons.cornell.edu:1813/216,2003-2004 Research Honors Program Abstracts (for the College of Agriculture and Life Sciences Undergraduates),"Faculty in the College of Agriculture and Life Sciences at Cornell University mentor and guide undergraduate students who have chosen to pursue a research project and graduate with honors. These abstracts reflect the depth of their scholarship and intellectual ability. The research projects encompass work in animal science, biological science, entomology, landscape studies, natural resources, physical science, plant science, and social science.",,application/pdf,Article
oai:ecommons.cornell.edu:1813/645,"Some Practical Observations on the Writing, Implementation, and Revision of Collection Development Policy.","This paper was conceived in the context of the ""RTSD Guidelines for the Formulation of Collection Development Policies.""  It describes fundamental qualities of policy applicable to all kinds of libraries and recommends a step-by-step process leading to the the successful realization of policy planning. Placing an emphasis on the values of the process itself, the paper also suggests implications for collection development personnel and for the library as an organization, when a working policy is adapted.",,application/pdf,Article
oai:ecommons.cornell.edu:1813/646,Selection Methodology in Academic Libraries.,An attempt is made to describe the elements of a selection decision model.  Definitions are provided and an outline for a classification of library materials by source of origin is developed. There are descriptions of short- and long-term goals for collection development as well as an outline of macro- and microselection decision making.,,application/pdf,Article
oai:ecommons.cornell.edu:1813/647,"Collection Evaluation in Research Libraries: The Search for Quality, Consistency, and System in Collection Development","The history, literature, and methodology of collection evaluation or assessment in American research libraries are reviewed, current problems, tools, and methodology of evaluation are discussed; and an ongoing collection evaluation program at Stanford University Libraries is described.",,application/pdf,Article
oai:ecommons.cornell.edu:1813/655,The Necessity for a Collection Development Policy Statement,"The heart of the library lies in its collection, and collections have to be built continuously. Budgetary constraints perforce stress the need for better defined collection development policy, although the ultimate goal should be an improvement of library service rather than any reduction of library cost. A written collection development policy facilitates a consistent and balanced growth of library resources, and a dynamic policy is one that evolves as the institution grows. Such as policy is based on the understanding of the needs of the community it serves and seeks to define and limit the goals and objectives of the institution.  A collection development statement is not a substitute for books selection; it charts the forest but does not plant the trees.  It should be used as a guidepost, not a crutch.  Book selection requires judgement and the courage to choose.  A sound collection development policy, on the other hand, provides the necessary rationale without which a collection may grow amoebalike, by means of pseudopodia.",,application/pdf,Article
oai:ecommons.cornell.edu:1813/656,Allocation of Funds in Support of Collection Development in Public Libraries,"A discussion of allocation of funds in support of colleciton development in public libraries based primarily on interviews held with administrative officers of the Brooklyn Pulic Library and Tompkins County (New York) Public Library is presented.  The author concludes that no materials budget, however strong, can be used effectively without quality service at the level where the individual librarian brings material and patron together.",,application/pdf,Article
