oai:ecommons.cornell.edu:1813/2135,"To Defend Ourselves, Ecology & Ritual in an Andean Village","The ethnography, To Defend Ourselves, describes a series of rituals that maintain social structure and practices in the community of Chuschi, Peru. It was first published in 1978, with a second edition published in 1985 and a Spanish edition due out in the fall, 2005.",,application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/2231,Being a Librarian: Metadata and Metadata Specialists in the Twenty-first Century,Discusses the role of metadata and metadata specialists in libraries over the next decade.,,application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/2474,De inmaduro a duro: lo simbolico femenino y los esquemas andinos de genero,"My motivation for writing this chapter is to call attention to a 'Feminine Symbolic' that I believe constitutes the core of Andean conceptualizations of gender. The argument that I will present is as follows: The feminine, as an abstraction, is an unmarked category, whereas the masculine is elaborated, or marked. In addition, androgyny is a primary force in the continual recreation and reproduction of the world motivated by female sex and desire, not by biological reproduction. Such a gender schema provides an alternative to Lacan's symbolic which makes patriarchy seem inevitable. The second half of this analysis deals with ethnographic materials largely drawn from my fieldwork in the village of Chuschi, department of Ayacucho, Peru in the 1970's. I examine gender formation along the life course and into the after-life.",,application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/2857,Not the Most Isolated Place on the Eastern Seaboard,"Chapter 1 of the book with the working title,  ""GLOBAL CORNELL, A History of the University's International Experience"".",,application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/3091,Cornell: Glorious to View,"The steep hills and dramatic gorges of Ithaca were the setting for a revolution in American education when, in the 1860s, a self-made man sought ""to do the most good . . . to the poor and to posterity."" Ezra Cornell's philanthropy, enhanced with funds from the Morrill Land Grant Act and enlarged by the vision of educator Andrew Dickson White, created what has been called the first American university - a modern, democratic, research-oriented institution open to young men and women of all creeds and races. Reflecting the ideas of its founders, Cornell University has combined the industrial science and technology of America with the humanism of Athens to serve both the individual and society.


In her concise, generously illustrated account of Cornell, Carol Kammen places that bold vision in its nineteenth-century context - a time when higher education was restricted to a privileged few. Now the university enters the twenty-first century as an institution of international stature and a leader in educational opportunity.


Kammen, a noted local historian and lecturer in history at Cornell, tells the story of this great university with verve. Highlighting the text are excerpts from important documents and images from archives in the Cornell Library's Division of Rare and Manuscript Collections, selected by Susette Newberry, a Cornell archivist specializing in photography and media studies. Together, words and images illustrate the growth of the university, the origins of its famous schools and colleges, and its enduring commitment to excellence in education.


About the AuthorCarol 
Kammen is Senior Lecturer in History at Cornell University. She is the author of several books, including Plain as a Pipestem: Essays about Local History and Lives Passed: Biographical Sketches from Central New York. She is also editor of The Pursuit of Local History and coeditor of The Encyclopedia of Local History. Walter LaFeber is Marie Underhill Noll Professor of American History at Cornell University, where he has taught since 1959. His many books include The New Empire: An Interpretation of American Expansion, 1860-1898 (also from Cornell), Michael Jordan and the New Global Capitalism, and The Clash: U.S. Relations with Japan from the 1850s to the Present.",Selections available for preview as PDFs. Hardcover available for purchase at the Cornell Store: http://www.booksite.com/texis/scripts/oop/click_ord/showdetail.html?sid=3635&isbn=093599503X&music=&buyable=0&assoc_id=&spring=,application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/3426,Silent Revolution of a Muslim Arab American Scholar-Activist,"After 35 years of living in the Unites States, every time I meet a new person, I am asked: Where are you from? My own personal, political and scholarly journey along with that of some of my cohorts engaged in search for answers to this and relevant questions have shaped my silent revolution. It is a revolution against the way Muslim-Arab girls have been raised unprepared to experience their identity autonomously; it is a revolution against the social systems that abuse and stereotype Muslim Arab women--be it the Muslim, the Arab or the American systems--chiefly because of their dress code. The goal of this revolution is to ignite the flames for social change, re-interpreting the Qur'an in order to retrieve its dynamics that originally intended to establish gender justice. Though the three and one half decades of my life in the US-- first as a foreign student, then as a permanent resident and a citizen--are marked by milestones distinctive dates and events, in my search for answers to different questions, I prefer to go back and forth between them.","Copyright 2003, Texas University Press. This is a pre-copyedited version of an article accepted for publication in the edited book Muslim Women Activists in North America, following peer review. The definitive publisher-authenticated version is available through the University of Texas Press. http://www.utexas.edu/utpress/excerpts/exbulmus.html. See also: http://www.eself-learning-arabic.cornell.edu/publications.htm#2",application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/5162,"ELECTROSPUN FIBERS FROM BOTH SOLUTION AND MELT: PROCESSING, STRUCTURE AND PROPERTY","Electrospinning, in which a droplet of polymer liquid is elongated by the action of a strong electrical field, is an effective method to produce submicron scale fibers. The resulting nanofibers are collected as non-woven mats with large surface area to volume ratios which can be used in filtration, catalysis, tissue engineering and reinforced composites. Studies on electrospinning, however, have been limited to relatively simple polymeric systems and researchers have just begun to scratch at the surface of the structure and morphology of various sub-micron scale fibers. 
To achieve a fundamental understanding of material-processing-structure relation during nanofiber formation, the following three systems have been investigated experimentally. First, the formation of nanofibers from polylactic acid (PLA) and its nanocomposite solutions has been studied to investigate the effects of inclusion of silica nanoclays. It is observed that the inclusion of nanoclays gives rise to strong cold crystallization, formation of beta crystals and structural orientation in PLA fibers. Electrospun PLA nanocomposite fibers also exhibit improved mechanical properties due to the preservation of intercalated structures and further alignment of nanoclays throughout the entire fiber. We further studied the effect of inclusion of polyethylene oxide (PEO) on PLA fibers. The mechanical properties of PLA are greatly affected by the addition of PEO. Electrospun PLA/PEO blend fibers with less than 10wt% of PEO exhibit increased elongational modulus, yield strength and breaking strain. 
Secondly, we have created a unique route to nanofibers directly from the melt which eliminates the organic solvents present in solution electrospinning. This new solvent-free approach not only allows us to investigate a rich array of experimental studies to develop novel nanofibers directly from polymer melts and composites but also opens the door to theoretical routes to model nanofiber formation without the complications associated with solvent evaporation. Sub-micron PLA fibers have successfully been electrospun from its melt by investigating the effects of a series of processing parameters on fiber diameter. The degradation during melt electrospinning has also been studied.
The third system is an extension from melt electrospinning, which is heated solution electrospinning of polyolefin. We explored the possibilities of electrospinning sub-micron polyolefin fibers directly from their solutions and investigated the effects of processing parameters on fiber morphologies and properties.",,application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/5273,"Superposed folding resulting from inversion of a synrift accommodation zone, Atlas Mountains, Morocco","The conspicuous offset of the northern margin of the High Atlas Mountains is composed of several large superposed folds, one of which is known as the Ait Attab Syncline. The original northeast-trending syncline (F1) was folded by a second set of fold axes (F2) that trend to the northwest. The superposed folding was generated by one phase of compression, with thrusting of synrift rocks northwestward over a prior accommodation zone formed during rifting. This accommodation zone is expressed in the exposure of synrift rocks, the exposure of Paleozoic strata in the footwall, and a coincident offset of topography. Inversion was accomplished by the transport of synrift strata along reactivated normal faults and newly formed thrusts. The unique pattern of refolding is believed to be characteristic of inversion.","Copyright 2004, American Association of Petroleum Geologists.
See also:
http://atlas.geo.cornell.edu/morocco/publications/beauchamp2004.htm",application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/5324,Structure and tectonic evolution of the Anatolian plateau in eastern Turkey,"The Cenozoic geology and the present lithospheric and upper mantle structure of the Anatolian plateau in eastern Turkey and nearby regions are the result of the final collision and suturing of the continental Arabian plate to the Turkish terranes (i.e., micro-continents). This process of collision and suturing was strongly influenced by three active structures in the region: the Caucasus mountains, the Aegean subduction zone, and the Dead Sea fault system. Understanding these three major tectonic elements are important for the development of a robust model for the formation of the Anatolian plateau. 

We show that the Anatolian plateau lithosphere in eastern Turkey has no lithospheric mantle, i.e., the crust floats on a partially molten asthenosphere. The average thickness of the crust in the region is approximately 45 km. The uppermost mantle beneath this crustal block strongly attenuates Sn waves and has one of the lowest Pn velocities on earth (about 7.6 km/s). The Anatolian plateau, with an average of 2 km elevation is dissected by numerous active, seismogenic faults (mostly strike-slip and some thrust type). Neogene and Quaternary volcanism with varying composition is widespread and covers more than half of the region. 

We argue that the northward subduction of the northern and the southern branches of the Neo-Tethyan oceanic lithosphere since the Mesozoic has resulted in the development of arc and back-arc volcanism (i.e., the Pontide and Bitlis systems) and the development of the eastern Anatolian accretionary complex that covers a large area of eastern Turkey. The northward subduction of the southern Neo-Tethys considerably thinned and weakened the overriding Eurasian plate above the descending oceanic lithosphere of the Arabian plate. The final suturing of the continental Arabian plate with the Turkish terranes in the Miocene and the continued convergence of Arabia relative to Eurasia has resulted in the shortening of the accretionary complex both in the forearc and the back-arc regions and the development of a broad zone with numerous strike-slip faults. The mobilization of the Caucasus is also partially a consequence of this convergence. The documented major episode of widespread volcanism at about 11 Ma is probably related to the breakoff of the shallowly descending oceanic segment of the Arabian lithosphere beneath eastern Turkey. The continued convergence of Arabia relative to Eurasia has resulted in the development of the North Anatolian fault (NAF) and subsequently the East Anatolian fault (EAF) in the Pliocene. At about this time, the northern segment of the Dead Sea fault (DSF) also developed in Lebanon and northwest Syria and joined the EAF to form the Anatolian - Arabian - African triple junction in the Maras region of southern Turkey. The development of these fault systems (i.e., NAF, EAF, and DSF) provided the mechanism for the tectonic escape of the Anatolian crustal block towards the Aegean arc system.","This paper was published by the Geological Society of America (GSA).  Copyright 2006, GSA.
See also:
http://granite.geosociety.org/bookstore/default.asp?oID=0&catID=9&pID=SPE409;
http://atlas.geo.cornell.edu/turkey/publications/Barazangi-et-al_2006.htm",application/pdf,Book Chapter
oai:ecommons.cornell.edu:1813/5383,Tectonic evolution of the northern Arabian plate in western Syria,"The primary geologic structures of the northern Arabian plate in western Syria include the intracontinental Palmyride mountain belt and the interplate boundary of the Dead Sea transform fault system. The Palmyride belt strikes NE and is sandwiched between two relatively stable crustal blocks of the Arabian platform: the Aleppo plateau in the north and the Rutbah uplift in the south. The Palmyrides were the site of an early Mesozoic aulacogen-type depression that was linked to the Levantine rifted continental margin in the eastern Mediterranean. The location of this postulated aulacogen may be genetically associated with a crustal zone of weakness, possibly a Proterozoic suture and/or shear zone, between the Aleppo and Rutbah crustal blocks. Uplift of the intraplate Palmyride depression initiated in the Late Cretaceous, penecontemporaneous with emplacement of ophiolites along the nearby Arabian plate boundaries in southern Turkey and western Iran. More intense episodes of shortening during the Cenozoic also appear to be temporally related to collision along nearby plate boundaries, implying that stresses have been transmitted hundreds of kilometers across the northern Arabian platform. The style and intensity of the inversion process vary considerably along the strike of the Palmyrides and involves both shortening by folding and reverse faulting as well as translation and rotation along numerous strike-slip faults. Such folds and faults clearly define at least three structurally distinct small crustal blocks within the Palmyrides. Shortening of about 20% in the southwest Palmyrides near Lebanon gradually dies out to the northeast near the intersection of the Palmyrides with the NW-trending Euphrates depression. Depth to metamorphic basement beneath the Palmyra mountain belt increases from 9 km in the northeast to 11 km in the southwest, compared with a basement depth of about 6-8 km in the adjacent Arabian platform, indicating that shortening along the Palmyrides has been insufficient to invert the previously extended basement morphology. Finally, slip measurements along the Dead Sea fault and estimates of crustal shortening in the Palmyride belt indicate that the northern segment of the seismogenic active Dead Sea fault in Lebanon and Syria is considerably younger (Pliocene) than the southern part (Miocene).","This paper was published in the volume Recent Evolution and Seismicity of the Mediterranean Region published by Kluwer Academic Publishers. Kluwer Academic Publishers retains the copyright to this paper.
See also:
http://atlas.geo.cornell.edu/syria/barazangi-et-al-1993.html",application/pdf,Book Chapter
