oai:ecommons.cornell.edu:1813/34,"Dance in the Noh Theater, Volume 1: Dance Analysis",,"""A thoroughly scholarly, very revealing work which is a major contribution to drama study on Japan . . . . All arts librarians ought to have it.""  --The Japan Times.
A comprehensive analysis of the fundamentals of noh dance, its structure and patterns, and their correlation to music, text, costumes and props. Originally published in three interconnected volumes, it elucidates the inner workings of noh dance on many levels. Monumenta Nipponica calls it ""a landmark in English language noh studies.""",application/pdf,Book
oai:ecommons.cornell.edu:1813/49,"Dance in the Noh Theater, Volume 3: Dance Patterns",,"""A thoroughly scholarly, very revealing work which is a major contribution to drama study on Japan . . . . All arts librarians ought to have it.""  --The Japan Times.
A comprehensive analysis of the fundamentals of noh dance, its structure and patterns, and their correlation to music, text, costumes and props. Originally published in three interconnected volumes, it elucidates the inner workings of noh dance on many levels. Monumenta Nipponica calls it ""a landmark in English language noh studies.""",application/pdf,Book
oai:ecommons.cornell.edu:1813/64,Waste Management at the Construction Site,The construction of a single-family home typically produces more than two tons of debris. This material is becoming increasingly difficult and expensive to discard. This publication assists builders in determining both cost-effective and environmentally sound methods for handling and disposing of construction waste.,"A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/pdf,Book
oai:ecommons.cornell.edu:1813/65,Managing White-tailed Deer in Suburban Environments,"Deer populations in suburban environments are soaring, resulting in an increase in deer-related conflicts such as property damage, vehicle collisions, and altered forest ecology. This publication describes strategies and methods for controlling deer populations in suburban environments and provides extensive resource contacts and a list of state wildlife agencies.","A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/pdf,Book
oai:ecommons.cornell.edu:1813/66,Managing Canada Geese in Urban Environments,"In many areas of the United States and Canada, the Canada goose has adapted to urban landscapes, foraging on mowed lawns and nesting near ponds and reservoirs. Geese may congregate at parks, golf courses, and athletic fields and create nuisance situations. This manual helps wildlife professionals, turfgrass managers, and homeowners select appropriate management strategies for alleviating problems caused by resident, nonmigratory geese.","This manual complements the video, Suburban Goose Management, Searching for Balance, which can be obtained from the Cornell University Resource Center. Phone 607-255-2080 or email resctr@cornell.edu.",application/pdf,Book
oai:ecommons.cornell.edu:1813/67,Cornell Guide to Growing Fruit at Home,"Growing fruit at home can be an enjoyable activity that provides nutritious food for your family. This publication describes how to choose the best varieties; select sites; prepare soil; plant, prune and train shrubs and trees; and deal with diseases and pests.","A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/pdf,Book
oai:ecommons.cornell.edu:1813/69,Designing Child Care Settings: A Child-Centered Approach,"This manual is designed to help child care providers (including directors and staff of day care centers, Head Start centers, nursery schools, and family child care) design indoor and outdoor settings for infants, toddlers, preschoolers, and younger school-age children. It stresses the importance of the physical environment on influencing children's experiences. The manual also contains information on designing a new center and working with an architect.","A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/pdf,Book
oai:ecommons.cornell.edu:1813/70,It All Adds Up,"This manual is a consumer education program for teens. It provides a basic understanding of the responsible handling of money, including savings and checking accounts, shopping, understanding the role of advertising, and using credit. The intended audience is 13- to 19-year-olds.","A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/pdf,Book
oai:ecommons.cornell.edu:1813/71,Prevention of Youth Violence,"This publication is designed to to assist those who provide programs aimed at preventing violence among young people. In an analysis of the problem and literature review, it discusses risk factors that lead to violence, strategies for preventing violence, implementing prevention programs, and categories of prevention programs. An extensive annotated bibliography lists and describes books, videos, and other programs that serve as resources for those implementing a program to prevent youth violence.","A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/octet-stream,Book
oai:ecommons.cornell.edu:1813/72,Enhancement of Wildlife Habitat on Private Lands,"This publication desribes methods to enhance wildlife populations on private lands. It includes illustrations and instructions for 10 low-cost to moderate-cost projects to provide desirable habitats. Many of the projects are applicable for urban parks, suburban backyards, and rural areas. It also introduces the concept of protecting biological diversity through ecosystem management.","A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/pdf,Book
