oai:ecommons.cornell.edu:1813/39217,Letter 01 to Diana Athill,"Philip Roth is giving information to Diana to pass on to Ghali, primarily the contact information for a Paul Engle, director of the Writers Workshop at the State University of Iowa. Roth thinks Ghali should get in touch with Engle, so that Ghali may work with the Writers Workshop. Roth is supportive of Ghali's abilities and thinks Ghali's work is good enough to merit acclaim.","Letter, 1 page",,Correspondence
oai:ecommons.cornell.edu:1813/39218,Letter 02 to Diana Athill,"Ghali talks to Diana about her possible marriage to a friend, Suzie's widower. Ghali implores her to not rush into a decision and to not forget how much she, as a person, is actually worth. He also explains how his time in Scotland has convinced him it is one of the most beautiful places on earth. He also explains his admiration for the Tartars. Ghali continues with a discussion of Rowoher (sp?), who seems to be a publisher who Ghali was currently at odds with because Ghali believes he treated him wrongly, but is apologetic about the situation. He further discusses the foreign publishing rights to his book that Diana brings up, wondering if Diana is referring to French publishers Gallimard Jeunesse or Formenta (sp?), and plans to send it Paul Zsolnay for German publishing.Ghali explains that he has more time now, so he reads a lot and is thinking of writing another book.","Letter, 4 pages",,Correspondence
oai:ecommons.cornell.edu:1813/39219,Letter 03 to Diana Athill,"Ghali seems to be in good spirits due to great weather and a new job in Scotland. He is going to start working for the British Army as a typist/translator. He plans to work there for a while, but does not want to go to work in Iowa, he wants to go to London. Ghali explains that his friend, Heinz will pay off Rowohlt (a German publisher) so that Ghali may have sole rights to his novel. He ends his letter explaining that he is happy and grateful now simply because Heinz has lent him enough money to eat and drink which he did not have before.","Letter, 4 pages, undated. Composed 1963-1966.",,Correspondence
oai:ecommons.cornell.edu:1813/39220,Letter 04 to Diana Athill,"Ghali tells Diana that he has been thinking of her since the next day is N.S. day and Diana must be in a state. He goes on to talk to her about a short story she wrote him. He says it is too refined for his liking, but that is because she has always been a proper writer, which he never believed himself to be. He makes the comparison that her writing moves toward Guy de Maupassant's while he attempts to move to who he believes is the greatest writer ever, Anton Chekhov. He was fired from his British Army job before it even started for unknown reasons, and is now working a 'horrible' labor job, but plans to write more now. He also has sent money to Rowohlt to regain publishing rights to his book. Ghali hopes that Diana will stay in good spirits despite the impending literary reviews for her book.","Letter, 2 pages",,Correspondence
oai:ecommons.cornell.edu:1813/39221,Letter 05 to Diana Athill,"Ghali is so excited to have read positive reviews in the paper for Diana's book. He then goes into details about the hierarchy of officers he spoke with when he tried to get his job at the British army base back. He often highlights their ineptitude and finds it quite annoying. However, in the end he is happy to get his job back and to leave his previous labor job. He also has written back to Andre Deutsch about the publishing rights of his book.","Letter, 3 pages",,Correspondence
oai:ecommons.cornell.edu:1813/39222,Letter 06 to Diana Athill,"Ghali writes this half on typewriter and half handwritten, because he had to pause his writing to finish some work. He concludes a previous conversation the two had on 'pangs' versus 'love' and agrees that Diana's views are definitely more truthful and adequate. Ghali details that it is payday for all the officers and jokes they all line up to get paid for doing nothing. He implores Diana to not send him Christmas gifts or money for a flight to London. He wishes he could be there with her on this first Christmas after her publishing. Ghali tells her that she takes the glamour away of famed people like Wyndham Lewis and Kathleen Knott.","Letter, 1 page, undated. Composed 1963-1966.",,Correspondence
oai:ecommons.cornell.edu:1813/39223,Letter 07 to Diana Athill,,"Letter, 5 pages, undated. Composed 1963-1966.",,Correspondence
oai:ecommons.cornell.edu:1813/39224,Letter 08 to Diana Athill,"Ghali speaks to Diana about the recent string of short stories she has written and praises them for their technical skill, but critiques Diana for writing too efficiently like an artisan. He insists that she should write like she does in her letters, like an artist, because she is not conscious of her writing  then. He also notes that a French publisher has been hearing about Beer in the Snooker Club  and wants to read it, which comes as a surprise to Ghali. He does not want to give Andre Deutsch the American rights to his next book, but waits for Diana's discretion on business deals with him. Regarding his work in the military office at the time, he feels as though no one there knows exactly what they are supposed to be doing. Ghali explains that he is forced to engage in an inefficient, redundant task, so he suggested a more efficient procedure to his superior and it has been put in place. Ghali has also written two short stories that he plans to send to Diana.","Letter, 2 pages, undated. Composed 1963-1966.",,Correspondence
oai:ecommons.cornell.edu:1813/39225,Letter 09 to Diana Athill,"Ghali is having a lot of problems with publishers and is trying to separate his personal relationship at this time with Diana from all the publishing conflict. He wants to start handling the international rights to his book by himself, and plans to send copies of his book to various requesting French publishers. He has not been writing much because he is writing again and is preoccupied with that and increased workload at his job.","Letter, 2 pages, undated. Composed 1963-1966.",,Correspondence
oai:ecommons.cornell.edu:1813/39226,Letter 10 to Diana Athill,"Ghali harshly refers to a woman who is romantically interested in him and goes on to a long explanation of why he does not understand passion because he thinks love is just like a mathematical formula that necessitates specific variables. He is once again having difficulty communicating with publishers. Rowohlt has not confirmed that Ghali owns the rights to his book, and Koshland said they had intention of publishing Beer in the Snooker Club in the spring, which is much later than Ghali anticipated. Additionally, Ghali is once again at odds with Deutsch who wants 20% of Ghali's American rights on his next book. His work days run late and he copes with midday drinking and buying an Edmund Wilson book.","Letter, 1 page",,Correspondence
