oai:ecommons.cornell.edu:1813/2177,Preventing Animal Nuisances in Small Scale Composting,,,application/pdf,Fact Sheet
oai:ecommons.cornell.edu:1813/33142,Recycle Plastic Maple Tapping Supplies,Best management practices (BMPs) recommended by the Recycling Agricultural Plastics Project to prepare used maple tapping supplies for recycling.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14282,Sources and Impacts of Contaminants in Soils,,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14283,Guide to Soil Testing and Interpreting Results,,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14284,Soil Contaminants and Best Practices for Healthy Gardens,,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14316,Cabbage Maggot,A 2 page overview of cabbage maggot life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14317,Carpenter Bees,A 2 page overview of carpenter bee life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14318,Cigarette and Drugstore Beetles,A 2 page overview with life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14319,Clothes Moths,A 3 page overview of clothes moth life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14320,Cockroaches,A 3 page overview of cockroach life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14321,Colorado Potato Beetle,A 2 page overview of Colorado potato beetle life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14322,Integrated Pest Management for the Deer Tick,A 5 page overview of deer tick life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14323,Drain Flies or Moth Flies,A 2 page overview of drain fly life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14324,European Chafer,A 2 page overview of European chafer life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14325,European Earwig,A 2 page overview of earwig life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14326,Fall Webworm,A 2 page overview of fall webworm life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14327,Insects and Firewood: Some Facts,A 3 page overview about firewood insects for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14328,Flea Beetles,A 2 page overview of flea beetle life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14329,Fleas,A 4 page overview of flea life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14330,Fourlined Plant Bug,A 2 page overview of fourlined plant bug life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14331,Galls on Plants,A 4 page overview of some common kinds of plant galls.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14332,Gypsy Moth,A 3 page overview of gypsy moth life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14333,Horntails,A 2 page overview of horntail life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14334,Imported Cabbageworm,A 2 page overview of cabbage white (cabbageworm) life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14335,Imported Willow Leaf Beetle,A 2 page overview of willow leaf beetle life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14336,Indian Meal Moth,A 2 page overview of meal moth life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14337,Lady Beetles in Homes,A 1 page overview about lady beetles (ladybugs) found in and around the home.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14338,Larder Beetle,A 2 page overview about the larder beetle and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14339,Magnolia Scale,A 2 page overview of magnolia scale life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14340,Mealybugs on Houseplants,A 2 page overview of houseplant mealybugs and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14341,Mexican Bean Beetle,A 2 page overview of Mexican bean beetle life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14342,"Millipedes, Sowbugs, Pillbugs, and Centipedes",A 3 page overview with household management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14343,Mountain Ash Sawfly,A 2 page overview of mountain-ash sawfly life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14344,Multicolored Asian Lady Beetle,"A 3 page overview of a lady beetle (ladybug) found in and around the home, with management information for New York State residents.",,,Fact Sheet
oai:ecommons.cornell.edu:1813/14345,Oak Skeletonizer,A 2 page overview of oak skeletonizer life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14346,Sugar Maple and the Pear Thrips,A 3 page overview of pear thrips life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14347,Pseudoscorpions,A 1 page overview about pseudoscorpions found in or around the home.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14348,Rhubarb Curculio,A 2 page overview of rhubarb curculio life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14349,Sawtoothed Grain Beetle,A 2 page overview of sawtoothed grain beetle life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14350,Scales on Houseplants,A 2 page overview of houseplant scale insect life history and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14351,Silverfish and Firebrats,A 2 page overview of silverfish and firebrat life cycles and management information for New York State residents.,,,Fact Sheet
oai:ecommons.cornell.edu:1813/14352,Snow-Fleas,A 1 page overview about snow-flea springtails seen outdoors in winter.,,,Fact Sheet
