oai:ecommons.cornell.edu:1813/681,01-083*A Lamium maculatum 'Anne Greenaway',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/682,02-049*A Syneilesis aconitifolia,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/683,02-227*A Epimedium xversicolor 'Versicolor',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/684,02-463*A Helleborus Foetidus 'Red Silver',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/685,74-187*B Waldsteinia ternata,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/686,86-425*A Epimedium xperralchicum 'Frohnleiten',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/687,87-386*A Rhododendron 'Dolly Madison',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/688,87-448*D Rhododendron 'Montchanin',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/689,87-460*C Rhododendron 'Caronella',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/690,94-134*A Rhododendron 'Hudson Bay',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/693,96-128*A Cardamine pratensis 'Flore Pleno',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/694,96-413*B Viburnum carlesii 'Aurora',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/695,97-342*A Epimedium grandiflorum 'Crimson Beauty',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/696,98-364*A Darmera peltata,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/698,99-061*A Darmera peltata 'Dwarf Form',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/701,99-362*A Astrantia major 'Sunningdale Variegated',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/702,82-262*A Pieris 'Brouwer's Beauty',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/703,84-240*A Veratrum nigrum,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/705,87-053*B Trachystemon orientalis,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/706,96-483*A Corylopsis pauciflora,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/707,96-578*A Pulmonaria saccharata 'Leopard' Award of Garden Merit,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/708,97-340*A Epimedium Asiatic Hybrids,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/709,98-536*A Fritillaria imperialis 'Maxima Lutea',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/710,99-063*A Epimedium pinnatum ssp. colchicum 'Black Sea',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/711,99-217*A Pulmonaria 'Majeste',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/712,99-473*A Muscari armeniacum 'Valerie Finnis',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/713,65-126*A Magnolia xsoulangiana,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/714,68-058*B Magnolia 'Ricki',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/715,68-059*A Magnolia 'Betty',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/716,68-061*A Magnolia 'Jane',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/717,68-062*A Magnolia 'Pinkie',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/718,75-172*A Magnolia xsoulangiana 'Verbanica',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/719,75-173*B Magnolia xloebneri 'Merrill',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/720,76-299*A Vinca minor 'Gertrude Jekyll',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/721,78-411*A Paeonia tenuifolia 'Plena',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/722,85-359*A Viburnum carlesii,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/723,87-240*A Magnolia xloebneri 'Ballerina',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/724,87-356*C Magnolia kobus var. stellata 'Waterlily',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/725,87-418*A Viburnum xjuddii,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/726,91-196*A Magnolia Kobus Var. Stellata 'Royal Star',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/727,92-095*A Cercis canadensis 'Royal White',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/728,93-072*B Magnolia 'Ivory Chalice',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/729,95-168*A Magnolia 'Ann',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/730,96-298*A Mukdenia rossii,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/731,96-323*A Epimedium xwarleyense 'Orangekonigin',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/732,96-380*A Pulsatilla vulgaris 'Papageno',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/733,97-127*A Magnolia kobus var. stellata 'Two Stones',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/734,00-029*B Malus 'Donald Wyman',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/735,00-293*A Lamium maculatum 'Brocade',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/736,03-441*L Kerria japonica 'Pleniflora',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/737,03-466*E Kerria japonica 'Golden Guinea',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/738,03-467*A Iris cristata 'Eco Blue Bird',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/739,76-189*B Rhododendron 'Boule de Neige',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/740,85-076*A Stylophorum diphyllum,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/741,87-449*A Rhododendron 'Cunningham's White',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/742,87-583*A Malus 'Hargozam' HARVEST GOLD,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/743,88-110*C Malus 'Dolgo',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/744,88-207*A Paeonia 'Nova',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/745,88-217*H Rhododendron yedoense var. poukhanense,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/746,96-416*A Brunnera macrophylla 'Variegata',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/747,96-535*A Trillium viride var. luteum,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/748,96-536*A Pulmonaria 'Dora Bielefeld',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/749,99-095*A Pulmonaria 'Raspberry Splash',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/750,00-412*A Waldsteinia geoides,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/751,01-081*A Dicentra 'King of Hearts',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/752,03-205*B Weigela florida 'Pink Poppet',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/753,03-441*A Kerria japonica 'Pleniflora',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/754,76-191*A Rhododendron 'Vernus',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/755,77-301*A Rhododendron metternichii,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/756,81-480*A Paeonia mlokosewitschii,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/757,82-121*A Trollius ledebourii 'Golden Queen',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/758,86-192*A Rhododendron 'Gertrude Saxe',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/759,86-267*A Disporum uniflorum,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/760,86-540*A Tetraneuris herbacea,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/761,87-215*A Phlox subulata 'Emerald Blue',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/762,87-435*C Rhododendron metternichii 'Hall's Narrow Leaf',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/763,95-044*B Magnolia 'Gold Star',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/764,96-163*A Fothergilla gardenii 'Suzanne',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/765,96-512*A Pulmonaria longifolia ssp. cevennensis,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/766,96-553*D Rhododendron 'Cunningham's White',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/767,97-006*A Rhododendron 'Molly Fordham',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/768,99-446*A Viola labradorica,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/769,86-467*A Brunnera macrophylla 'Langtrees',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/770,87-038*D Malus 'Candied Apple',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/771,87-066*B Malus 'Ormiston Roy',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/772,87-094*A Actaea rubra,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/774,87-279*B Malus toringo,,,image/jpeg,Image
