oai:ecommons.cornell.edu:1813/2272,"Japanese Performing Arts Resource Center, September 2005","This is an archive copy, from September 2005, of the Japanese Performing Arts Resource Center prototype. 

The Global Performing Arts Consortium (GloPAC) is beginning to develop Performing Arts Resource Centers (PARCs), which combine scholarly content with technological sophistication to create interactive, innovative, and interpretive Web-based learning environments designed to advance the teaching and study of the performing arts. Each PARC will have a specific focus, which may be geographic (Japan), temporal (turn of the 20th century), ethnic (Afro-American), thematic (feminist theatre), or audience oriented (teens). The resources on these sites will use individual materials that are stored and fully described in the Global Performing Arts Database (GloPAD), which will provide further opportunity for contextual research.

The Japanese Performing Arts Resource Center (JPARC) contains resources for the study of the traditional theatres of Japan and is GloPAC's initial prototype PARC. It was originally developed in 1999 by Karen Brazell, GloPAC Director and Goldwin Smith Graduate Professor of Japanese Literature and Theatre at Cornell University; Monica Bethe, GloPAC consultant and Professor at Otani University, Tokyo; and Cornell student assistants Tang Fang '99, architecture; Mien Wang, BFA '99 in painting and printmaking; and Thomas Lento '00, Asian studies.  Joshua Young and Kumiko McKee, GloPAC Research Associates, have added to and edited certain pages within the site since its initial set up. 

JPARC currently includes an interactive play script, a digital video of a biwa performance, a dynamic slide show on costuming, and a 3-D noh stage, as well as a multi-layered glossary and an index of translations, and primarily focuses on noh theatre at this time. An advisory committee has been formed to develop a more sophisticated JPARC, one that incorporates more advanced technologies, in-depth scholarly content, and Japanese performance genre.","To view this archival copy of the site, download the zipped folder, extract the files, and open the ""index.html"" file in a browser.",application/octet-stream,Learning Object
oai:ecommons.cornell.edu:1813/2807,Water Resources Systems - Exercises: Genetic Algorithms and Artificial Neural Networks,"Some exercises require the use of Genetic
Algorithms and Artificial Neural Networks and can be solved using the software named GANLC and ANN together with their help files. Instructors can obtain solutions to the exercises by contacting the authors (DPL3@cornell.edu or Eelco.vanbeek@wldelft.nl).  A ZIP file of the software is included which can be used after downloading.",,application/octet-stream,Learning Object
oai:ecommons.cornell.edu:1813/2805,Water Resources Systems Planning and Management - Exercises,"These are exercises associated with each chapter and software of the book: ""Water Resources Systems Planning and Management"".  These exercises are designed to help individuals obtain a better understanding of the subject
matter. Some exercises require the use of optimization modeling which can be accomplished by using the ""Solver"" option
of Excel. The book uses the demo version of LINGO software that can be downloaded from ""http://www.lindo.com"".",,application/pdf,Learning Object
oai:ecommons.cornell.edu:1813/3341,"Creating Video For An Online, Multilingual Database","Video subtitling and authoring instructions and examples developed as part of the Global Performing Arts Database (GloPAD, see www.glopad.org), an online, multilingual database project for materials and information on performing arts worldwide. As part of developing a system for our contributors to use we wrote up several sets of instructions on creating videos and subtitled videos for use on the GloPAD system. We have abstracted from those instructions some of the procedures we think are generally useful beyond our specific project.",,text/html,Learning Object
oai:ecommons.cornell.edu:1813/3424,A Bilingual Primer in Deploying and Evaluating Action Research:,"A Primer in Deploying and Evaluating Action Research. 

The following pages/slides (images) focus on introducing the State-of-the-art in theoretical and methodological foundations of action research (AR) in the form of a primer in deploying and evaluating AR.  This primer is designed to be relatively simple, but mainly interactive.  We searched both printed references and Internet sites looking for such a comprehensive document, but without any success.  Of course, we did find publications that discuss different approaches to action research and different ways of instructing in AR.  We have used different elements from these available publications while developing our own system (see references).  This document represents an interactive action research framework that is also context- and client-based.  That is, we discuss the different components of an action research program based on how relevant a particular component was thought to be for the intended context and as a result of the intended process for the clients. Needless to say, this document will be revised and updated as we receive comments and suggestions from the readers/participants.Please send your comments and suggestions to Dr. Nimat Hafez BARAZANGI","This document is mainly in English. However, some items are also added in Arabic.

Eventually, an Arabic version of the primer will be posted on the same site",application/pdf,Learning Object
oai:ecommons.cornell.edu:1813/3425,Arabic-Self Learning Curriculum,"This program, available in a prototype, uses the spatial and thematic metaphor of a home in Damascus, Syria, and a classroom at Damascus University to access the learner to myriad learning experiences in a contextually-based Arabic language learning situations. 

Learners will be exposed to interactions, characters, and scenarios, utilizing available text, sound and video to understand the two stories in the prototype, and eventually develop their own story (s) using the same Arabic structures and vocabulary.","Computerized Curriculum in the Arabic Environement in two Modules:

1. Arabic for non-native speakers
2. Arabic for native non-specialists",application/pdf,Learning Object
oai:ecommons.cornell.edu:1813/9991,Research Minutes: How to Identify Scholarly Articles,"Research Minutes is a vodcast series for undergraduate students covering library research concepts. The series transforms Cornell University Library's web-based research guide, Research Strategy: A Tutorial, into short, 90-second  vodcasts with music and images. This segment covers how to identify scholarly articles. 
Credits include: Michael Engle, script; Jenn Colt-Demaree, animation; Carla DeMello, dancing tower design; Studio M (studiomiami.com), music; Kaila Bussert, production.",,,Learning Object
oai:ecommons.cornell.edu:1813/9992,Research Minutes: How to Identify Substantive News Articles,"Research Minutes is a vodcast series for undergraduate students covering library research concepts. The series transforms Cornell University Library's web-based research guide, Research Strategy: A Tutorial, into short, 90-second vodcasts with music and images. This segment covers how to identify substantive news articles. Credits include: Michael Engle, script; Jenn Colt-Demaree, animation; Carla DeMello, dancing tower design; Studio M (studiomiami.com), music; Kaila Bussert, production.",,,Learning Object
oai:ecommons.cornell.edu:1813/10895,Research Minutes: How to Read Citations,"Research Minutes is a vodcast series for undergraduate students covering library research concepts. This segment covers how to read citations of books, book articles, and journal articles. Credits include: Kaila Bussert, production; Michael Engle, script; Jenn Colt-Demaree, animation; Carla DeMello, dancing tower design; Studio M (studiomiami.com), music; Gaby Castro, librarian; Bendi Barrett, student.",,,Learning Object
oai:ecommons.cornell.edu:1813/10937,A Space of Our Own: Women's Education and Spatial Practices,,"A winner of the John S. Knight Assignment Sequence Prize, this sequence originates from English 105, Women and Writing: Interior Decorating-The Making of the Female Mind.  In a three and a half week sequence of preparatory writing and essay assignments, including experiential learning activities taking place in spaces on campus, the assignments aim (1) to help students come to understand how identity and behavior are influenced by spatial constraints and considerations and (2) to prepare students for a reading of and paper on Virginia Woolf's A Room of One's Own, the final text for the course. 13 page pdf",,Learning Object
