oai:ecommons.cornell.edu:1813/54,Reason and Transition:  On the Concept of Transversal Reason,"This paper redefines the notion of reason as a core intellectual capacity, contrasts it with the concept of multiple rationalities, and shows how it is essential for taking a detached view of ones own position. Reason aims to be as neutral as possible, and provides the capacity to move or see across multiple positions (""transversal reason""). Reason does not necessarily lead to final conclusions, but permits the individual to accommodate irreconcilable perspectives.",,text/html,
oai:ecommons.cornell.edu:1813/55,Rationality and Reason Today,"We live in a conceptual world of divergent paradigms that are entangled with each other. Rationality is therefore characterized by an extreme disorderliness. Only the faculty of reason is capable of looking across this diverse and disorderly condition. Reason does not privilege itself with respect to rationality, but relates to reationality on the basis of logical principles only.",,text/html,
oai:ecommons.cornell.edu:1813/56,"Reason:  traditional and contemporary, or Why should we still speak of reason at all?","Reason was once considered a higher order faculty than rationality. Beginning with Kant, rationality began to eclipse reason in significance. Today, we assume the existence of multiple rationalities, each with its own guiding principles. It is now time to resuscitate and redefine reason as a faculty that allows the individual to understand and live with the plurality of rationalities that characterize postmodern thought.",,text/html,
oai:ecommons.cornell.edu:1813/85,Dale Corson-Cornell's Good Fortune,"This video chronicles the life of Cornell President Emeritus Dale Corson, from his boyhood and college years in Kansas to his distinguished career at Cornell. Commentary by various Cornell colleagues includes discussion of Corson's roles as Chair of the Physics Department, Dean of the College of Engineering, Provost, and  President. The program also looks at Corson's very active post-retirement life, including his role in the creation of the Kendal at Ithaca retirement community. A streaming media version of this file is available http://streaming1.video.cornell.edu:8080/ramgen/corson/corson.rm.","Executive Producer: Edward Hershey, Cornell Communications and Marketing Services; Associate Producer, David H. Rose",application/octet-stream,
oai:ecommons.cornell.edu:1813/866,96-078*A Aesculus sylvatica 'Autumn Splendor',,,image/jpeg,
oai:ecommons.cornell.edu:1813/2131,A GEOMETRICALLY EXACT THIN-WALLED BEAM THEORY CONSIDERING IN-PLANE CROSS-SECTION DISTORTION,"A fully nonlinear theory of a three-dimensional thin-walled beam, in arbitrary rectangular
coordinates with the pole of the sectorial area at an arbitrary point and the
origin of the sectorial area at an arbitrary point of the beam section, is developed to
incorporate transverse shear, torsion-induced warping, and local-buckling-induced
cross-section distortion. Based on a geometrically-exact description of the kinematics
of deformation, this theory allows large deformation and large overall motion
with a general out-of-plane warping function and a general in-plane distortion function.
The present theory can exactly reduce to the classical Vlasov theory for
vanishing shearing and cross-section distortion in the case of small deformation.
The nonlinear weak form of the governing equations of equilibrium is constructed
and the linearization of the weak form is derived. A finite element code is developed
to implement this generalized thin-walled beam element. The results given by the
post-buckling analysis are compared with numerical and/or experimental results to
investigate the local buckling effect on the member behavior.",,application/pdf,
oai:ecommons.cornell.edu:1813/2204,"SOCIALISM, GLOBALISM, AND PLAYFUL SABOTAGE","This dissertation examines four contemporary Chinese artists? selected installations, performances, and video works created from 1993 to 2003. The artists who are the subjects of this dissertation are Xu Bing, Zhang Peili, Yang Zhenzhong, and Xu Zhen. Particular attention is given to several political and cultural phenomena of the time that dramatically show the tension between socialist forces and the emerging capitalist and globalist forces in China. At this moment of great change and socialist appropriation of capitalist and globalist vehicles, a great energy was provided, which inspired a creative dynamism in art. It also shaped the artists? visions in the media used. A common strategy used by these artists was one of playful sabotage, a strategy by which these artists tried to deal with the opposing forces of socialism and consumerism and then attempted to affirm the self in their new world in art.",,application/pdf,
oai:ecommons.cornell.edu:1813/2527,Using Controlled Vocabularies to Manage Resource Relationships: The KMODDL Experience,"The Kinematic Models for Design Digital Library (KMODDL) exemplifies digital collections in which groups of objects are versions of the same resource and which resources are related to one another taxonomically. Other objects in the collection are supplementary materials that explicitly cite the primary KMODDL resources. To manage the complex relationships among KMODDL objects while maintaining the DC one-to-one principle, metadata developers established controlled vocabulary encoding schemes that linked related objects. The solution implemented enables users to find all versions of a resource and all supplementary materials that cite the resource in a single search.",Publication version.,application/pdf,
oai:ecommons.cornell.edu:1813/2541,The Emerging Economy-Industrial Complex,"This Masters Thesis is a synthesis of two papers that address how changes in global
industrial structures affect regional-specific industrial organization. The first paper is a
characterization of the response of Indonesian manufacturing firms to the Asian
financial crisis in 1997. The second paper is a characterization of the how to induce a
response from firms (specifically multinational seed companies) with research
capacities in the agricultural biotechnology sector in developing countries.
The lessons from both papers are broadly centered on effective growth policies
and it?s relation of private sector and foreign direct investments. Specifically, an
economic development agenda concentrated only on the private sector will not
necessarily guarantee that firms will take advantage of ideal economic scenarios. As
the case of Indonesian firms demonstrated, uncertainty and perceptions of the local
economy affect the extent to which the private sector should have led growth through
exports during devaluation of the Indonesian currency. In contrast, the capacity for
research and development in agricultural biotechnology is grossly underdeveloped in
Africa, and limited to only a few countries. The massive intellectual capacity of a
largely consolidated seed industry actually becomes beneficial for firms to take greater
risks and spur sector development.
Reading the following papers as a policy maker, one would thus gain valuable
insight to the complexities of industrial development. As a researcher and student, one
should be interested in these studies as a call attention to areas with potential for future
research. The implications of research into firm-level response of Indonesian export
firms will greatly affect future empirical work on trade theory and economic growth
policies because it highlights a circumstance that runs somewhat contrary to trade
theory predictions. Policies need to take into account the extent to firm response to
financial crisis and ability to face adverse economic situations. The immediacy of riskanalysis
research in the biotechnology sector in Africa is equally important and unexhaustive.
If foreign investments are to play an important role in the development
strategy for African countries, it must take into account the decision making processes
of firms willing to take on high-cost projects with low immediate returns.",,application/pdf,
oai:ecommons.cornell.edu:1813/2637,ETHNOGRAPHY OF INFANT FEEDING IN SUB-SAHARAN AFRICA: CASE STUDIES IN THE CONTEXT OF HIV/AIDS AND NEWBORN CARE,"The three ethnographic case studies described in this dissertation provide a cultural description of breastfeeding behavior with respect to HIV/AIDS and newborn care, and with a focus on early infancy. 
Study 1: Influences on infant feeding decisions were investigated in-depth interviews with a sample of 22 HIV-positive mothers from Kwa-Zulu Natal, South Africa.  Five themes were identified: social stigma of HIV infection; maternal age and family influences on feeding practices; economic circumstances; beliefs about HIV transmission through breastmilk; and beliefs about the quality of breastmilk compared to formula.  Mothers knew that breastmilk can infect the infant with HIV, but a dominant theme was that breastmilk protects children and is superior to formula.  
Study 2: Local feeding practices for the newborn, and how these ?fit? within the repertoire of newborn care giving practices were assessed in Pemba Island, Tanzania.  In-depth interviews were conducted with 13 peri-urban mothers and 30 rural mothers.  Beliefs underlying neonatal care-giving practices included: a) fear of maternal and/or newborn death at the time of delivery; b) vulnerability of the newborn; c) ritual pollution after childbirth and d) feeding strategies believed to enhance newborn health and survival. From a pile sort exercise conducted with a literate sub-sample, infant feeding was found to be conceptualized as distinct from other newborn care giving practices. 
Study 3: The 30 rural women from study 2 were provided with advice to improve feeding behavior during pregnancy. Their responses to the advice were assessed postpartum. Breastfeeding newborns was part of cultural expectation and practice, but exclusive breastfeeding was not.   
In all three communities, breastfeeding is highly valued and is culturally normative.  The first study results offer a glimpse of the forces that influence HIV positive women as they attempt to make an informed choice about feeding their infants.  Results from the second study suggest that interventions could specifically target feeding without having to affect other domains of newborn care.  Results from the third study offer guidance for designing education messages for promoting exclusive breastfeeding during the first few weeks of infant life.  Taken together, the three studies provide useful information for breastfeeding promotion activities.",,application/pdf,
