oai:ecommons.cornell.edu:1813/68,The Homeowner's Lawn Care and Water Quality Almanac,"All land is in a watershed. Therefore, lawn care practices have a direct impact of the quality of water in a watershed. This publication provides a month-by-month plan for lawn care that results in a healthy lawn while preventing environmental damage.","A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/pdf,Other
oai:ecommons.cornell.edu:1813/219,"The Visible Hand, Volume 12, Issue 1","This is the fall 2004 edition of Cornell University's longest-running undergraduate economics and business journal. This issue focuses on the hotly contested U.S. election of 2004 under the economic issues of jobs and taxes. Other topics include globalization and the expansion of the EU, ethics in the aftermath of corporate scandal, and many other subjects in the world of economics and business.",,application/pdf,Other
oai:ecommons.cornell.edu:1813/236,Calculating the Cost per Article in the Current Subscription Model,"This spreadsheet calculates the cost per article published in the current subscription model for 113 institutions designated under the Association of Research Libraries.  It graphs these institutions by FTE (full time equivalent enrollment) and compares the results to a range of costs postulated in the producer-pays open access model.

This spreadsheet uses publicly-available information and the author regrets any errors within.  It was designed to promote dialog and additional analysis -- not to advocate a particular position.

Modifying the starting assumptions will recalculate the values in the spreadsheet and update the graph.  Readers are encouraged to change the assumptions based on more accurate information or alternative scenarios.


Questions and clarification can be sent to the author, Philip Davis at:
pmd8@cornell.edu

Dec 20, 2004 (Revised May 13, 2005)","This spreadsheet is an addendum to the Report of the CUL Task Force on Open Access Publishing Presented to the Cornell University Library Management Team August 9, 2004. Cornell University Library. Technical Reports and Papers.
Library Papers and Preprints;2004-3 http://hdl.handle.net/1813/193",application/vnd.ms-excel,Other
oai:ecommons.cornell.edu:1813/615,The Dog and the Wolf,"Folk-tale from the Czech lands about a dog and a wolf 

From: http://www.fordham.edu/halsall/mod/bohemia-dogwolf.html",,application/pdf,Other
oai:ecommons.cornell.edu:1813/629,"The Firman of Investiture of Prince Charles of Hohenzollern-Sigmaringen as Prince of the United Principalities of Moldavia and Wallachia, October 23, 1866",,,application/pdf,Other
oai:ecommons.cornell.edu:1813/634,"The Perils of Travel Through Moldavia, 1854",,,application/pdf,Other
oai:ecommons.cornell.edu:1813/635,"The Transylvanian Germans, 1878",,,application/pdf,Other
oai:ecommons.cornell.edu:1813/636,Wallachia in 1657,,,application/pdf,Other
oai:ecommons.cornell.edu:1813/651,"Bulgarian Political Attitudes, 1894",,,application/pdf,Other
oai:ecommons.cornell.edu:1813/652,"The Massacre of Bulgarians, 1876",,,application/pdf,Other
