oai:ecommons.cornell.edu:1813/29719,An appeal for establishing a missionary college in China,,In volume lettered: Pamphlets relating to China volume 1.,,Pamphlets
oai:ecommons.cornell.edu:1813/29720,The Bible in China,,"Read at the quarterly missionary meeting in Union Chapel. Shanghai, in April, 1868. In volume lettered: Pamphlets relating to China volume 1.",,Pamphlets
oai:ecommons.cornell.edu:1813/29721,A vindication of comments on the translation of Ephesians I in the delegates' version of the New Testament,,In volume lettered: Pamphlets relating to China volume 1.,,Pamphlets
oai:ecommons.cornell.edu:1813/29722,"The Nestorian monument of Hsî-an Fû  in Shen-hsî, China: relating to the diffusion of Christianity in China in the seventh and eighth centuries, with the Chinese text of the inscription, a translation, and notes, and a lecture on the monument, with a sketch of subsequent Christian missions in China and their present state",,In volume lettered: Pamphlets relating to China volume 1.,,Pamphlets
oai:ecommons.cornell.edu:1813/29723,"A man of God approved in Christ: a sermon commemorative of the life of the Rt. Rev. William Jones Boone, preached in Calvary Church, New York, January 29, 1865",,In volume lettered: Pamphlets relating to China. Volume 5.,,Pamphlets
oai:ecommons.cornell.edu:1813/29724,The story of our country parish in China,,"At head of title: American Board of Commissioners for Foreign Missions.  [Printed, not published]. Signed: A.H.S. [No. 1] in volume lettered: Pamphlets relating to China. Volume 7.",,Pamphlets
oai:ecommons.cornell.edu:1813/29725,Historical sketch of the missions of the American Board in China,,In volume lettered: Pamphlets relating to China. Volume 10.,,Pamphlets
oai:ecommons.cornell.edu:1813/29726,Why Protestant missionaries in China should unite in using the term Tien Chu for God,,In volume lettered: Pamphlets relating to China. Volume 10.,,Pamphlets
oai:ecommons.cornell.edu:1813/29727,China,"I., Claims upon Christians in America. II., Social Condition. III., Openings for Christian effort. IV., Changes in China. V., Missionary statistics. VI., Our work.",In volume lettered: Pamphlets relating to China. Volume 10.,,Pamphlets
oai:ecommons.cornell.edu:1813/29728,Ancient symbolism among the Chinese,,"Read before the Shanghai Y.M.C.A., and stereotyped from the columns of the 'Messenger', volume 2, nos. 7, 8 and 9. In volume lettered: Pamphlets relating to China. Volume 10.",,Pamphlets
oai:ecommons.cornell.edu:1813/29729,China: its creeds and customs: with reference to missionary labours,,In volume lettered: Pamphlet relating to China. Volume 10.,,Pamphlets
oai:ecommons.cornell.edu:1813/29741,Mission of enquiry to the Jews in China: present state of the Jews at Kae-Fung-Foo,,"Detached from 'Jewish Intelligence', volume 17, May, 1851. In volume lettered: Miscellaneous on China.",,Pamphlets
