oai:ecommons.cornell.edu:1813/172,The USA PATRIOT Act and Archivists,"This presentation, given at the Spring 2004 meeting of the New England Archivists, discusses the impact of the USA Patriot Act on archives.  First, it discusses the real, though slight, risk the Patriot Act poses for archives, especially with regard for the privacy of archival donors and users.  Second, it discusses some of the concrete steps that archives can take to lessen the potential negative impact on archives.  Lastly, it talks about the archival and records management issues associated with terrorism investigations.",,application/pdf,Presentation
oai:ecommons.cornell.edu:1813/186,Workshop on Sustainable Models for University-based Scholarly Publishing,"The purpose of this presentation is to explore financially sustainable and effective approaches to scholarly communications for and by higher education, to identify shared interests, and 
to facilitate multi-campus collaborations.",,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/187,Workshop on Scholarly Publishing: Remarks during Open Session,A discussion of Scholarly Communication issues and concerns.,,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/188,Developing an Institutionally-funded Publishing Channel: Context & Considerations for Key Issues,"The purpose of this presentation is to explore the viability of direct institutional funding for publishing faculty research, and to define a practical publishing mechanism by which to implement the model.",,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/189,Responsible Publishing,"Responsible Publishing: Thinking Creatively and Collaboratively. Breaking Down Traditional Publishing Categories: Books, Journals, Databases, Grey Literature, Teaching Resources
Creating New Alliances with Scholars, Libraries, Technology Providers, Scholarly Societies, Publishers. Sharing skills of Librarians, Technologists, and Publishers in Creating Valuable Resources at Reasonable Prices.",,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/190,Open-Access Scholarly Publishing,"Can open-access scholarship succeed?
Should open-access scholarship succeed?
The goals are to lower costs and increase access. 
Four topics are reviewed: 
1) Three Fundamental Ideas 
2) Transition from Paper to Digital
3) Market Forces
4)Strategies",,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/191,Building an E-Publishing Model from the Stakeholders on Up,Develop a business model to adapt DSpace for e-publishing..,,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/266,Project Euclid and the ArXiv: Complimentary and Contrasting Elements for Sustainability,"New models of sustainability are evolving for the development and dissemination of scholarly information, but viable options are dependent on stable organizational foundations and sound managerial and financial models.  My remarks today are not designed to provide an overarching vision for the future of scholarly publishing, but are intended to elucidate factors critical to the success of such visions.  I am pleased to have this opportunity to review with you strategies presently being employed by the electronic publishing program of the Cornell University Library.  I will focus on two particular research publishing endeavors, Euclid and the physics, mathematics, and computer science e-print arXiv.  These two alternative publishing instances offer us a lens through which to analyze elements critical to sustainability.  Their very different operational models illustrate differences in sustainability strategies, and yet there are important similarities between the two.","This is an edited version of remarks presented at the ""Workshop on Sustainable Models for University-Based Scholarly Publishing,"" conducted at Columbia University on June 1, 2004.",application/pdf,Presentation
oai:ecommons.cornell.edu:1813/1085,LOCKSS at Cornell,"A 15-minute presentation on the experience of hosting a LOCKSS cache (Lots of Copies Keep Stuff Safe)at Cornell University Library during 2003-2005, from the technical point of view.",,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/1457,Using MARC Repurposing to Initiate a Metadata Management Design,,,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/1469,"Lists, Catalogs and Portals: Models and Tools for E-Resource Access","Describes a mumber of methods for accessing a library's electronic resources, including aggregator databases, SerialsSolutions data, portals, federated searching, reference linking, and OpenURL.",,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/1470,"Technology, Process Redesign, and the Evolving Role of Technical Services",Discusses the reorganization of technical services and development of tools (including CUL's Integrated Tool for Selection and Ordering (ITSO CUL) acquisitions tool) at Cornell University Library to create efficiencies for providing library users with faster access to materials.,,application/pdf,Presentation
oai:ecommons.cornell.edu:1813/1471,"Curves Ahead! A Sunday Driver's Tour of Metadata, Metasearch, and Open Linking","Provides an overview of metadata, federated searching, and reference linking.",,application/vnd.ms-powerpoint,Presentation
oai:ecommons.cornell.edu:1813/1472,"User-Centered Services: Information Experts, Interface and Content in the Virtual Library",Discusses the need for closely tying together library operations and services so their connection appears seamless to the library user.,,application/vnd.ms-powerpoint,Presentation
