oai:ecommons.cornell.edu:1813/73,The First-Year Experience: A Guide to Best Practices at Cornell University,A survey of Cornell University students indicated that many feel isolated and are dissatisfied with their interactions with faculty and with other students. This paper looks at current best practices at Cornell in order to make the first-year experience more enjoyable for Cornell students.,"A print on demand of these books and articles can be obtained from Cornell Business Services (CBS) Digital Services by sending e-mail to digital@cornell.edu or calling 607.255.2524. In the body of the message include the identifier.uri for the book or article, and ask to be contacted regarding payment.",application/pdf,Project Report
oai:ecommons.cornell.edu:1813/125,How Warm is an Igloo?,"Homeostasis maintains the human body temperature within a few degrees of
37oC. However, in severe environments, such as a harsh winter blizzard, the body will
not be able to maintain a 37oC temperature without the aid of clothes, shelter, and sources
of heat. We find the Igloo, a shelter made of ice and snow, a very interesting means of
maintaining body temperature. In this project, we have created a mesh of the Igloo
system in GAMBIT and ran simulations in FIDAP to examine temperature variation and
air flow inside of the igloo, when the human body is the only source of heat. In the steady
state temperature profile obtained, areas of highest temperature were located directly
around and above the human, and close to the top of the igloo, the temperature was 289K.
The areas of lowest temperature were around 266 K, located at the bottom of the igloo
farthest from the human. Natural convection caused the velocity of the air in the igloo to
range from 0 to 9mm/s. The FIDAP analysis did not take into account radiative heat
transfer, so a separate analysis was done, which revealed that there is considerable heat
transfer through radiation in an igloo.",,application/pdf,Project Report
oai:ecommons.cornell.edu:1813/124,Hearts Ablaze: Radio Frequency Ablation as Treatment for Cardiac Arrythmia,"This project analyzes several of the parameters involved in the use of radiofrequency
ablation (RFA) in the treatment of cardiac arrhythmia. Arrhythmia is an irregular beating
of the heart that can be caused by improperly timed contractions within the heart, which
can, in certain circumstances, be corrected by ablating tissue. One out of every five
hundred people is born with an arrhythmia and others acquire the condition through heart
disease. For heart attack victims, it is the most common cause of sudden death. RFA is a
common way to treat serious arrhythmia cases by cutting the short circuit through the
destruction of certain tissues. We used finite element analysis along with prototyping
software to determine the duration of treatment, with special attention to the damage
caused to surrounding tissue. We found that the optimal parameters for most effective
treatment were to administer 30V for 120 seconds ? which happens to be the standard
method of operation. This destroys the necessary part of the AV node while maintaining
the surrounding tissue at relatively normal temperatures.",,application/pdf,Project Report
oai:ecommons.cornell.edu:1813/126,Hyperthermic Ablation of Hepatic Tumors by Inductive Heating of Ferromagnetic Alloy Implants,"This study is an investigation into the ability of ferromagnetic thermal therapy to destroy cancerous
hepatic tissue. Ferromagnetic rods are implanted in cancerous tissue and heated by induction. Increased
temperatures result in tumor destruction. Because alloy implants are minimally invasive, used for
multiple treatments and are temperature self-regulating, they represent a superior cancer treatment
compared to many alternatives. The focus of modeling ferromagnetic thermal therapy will be to
maximize tumor obliteration by considering heating temperature and the placement of alloy rods. Data
on the efficacy of different Curie points and probe arrangements as well as sensitivity to variations in
material properties are presented. Recommendations are made for the implementation of this treatment
based on the modeled results.",,application/pdf,Project Report
oai:ecommons.cornell.edu:1813/127,Lord of the Mood Rings,"Our main objective is to study the mechanisms by which heat transfer taking place
in the human finger will affect the color change in the mood ring. This project uses
GAMBIT and FIDAP to model the heat transfer from the finger to the ring. Finding the
possible range of heat generations, one can estimate the temperature range of the surface
and thus the best type of LC to be used in a ring. By determining the temperature in the
ring at steady state the blood flow rate can be quantified, which will provide the required
heat generation to change the mood ring to any desired color. We obtained several Q?s
ranging from 6800 to 7200 W/m^3 appropriate to blood flow rate, and ambient conditions
with no forced convection for the model. Further sensitivity analysis was done for selected
data input, such as conductivity and source term, to assess their impact on the results. It
was concluded that blood flow rate corresponding to the heat generation values used
ranged from 0.245 to 0.265 cm^3/min. From the results it is recommended that the color
change in the LCD crystal should be most sensitive over the range of 32 to 35 ?C.",,application/pdf,Project Report
oai:ecommons.cornell.edu:1813/128,An Alternate Treatment for End Stage Coronary Artery Disease: Transmyocardial Laser Revascularization (TMR),"Coronary artery disease involves the buildup of plaque (from cholesterol) on the
inside of the arteries, which limits the flow of blood through the vessel.
Occlusion of these vessels leads to angina and ultimately to heart attacks.
Several common treatments exist to reopen the arteries including angioplasty
(with or without a stent), atherectomy, and laser ablation. However, surgical
procedures are sometimes necessary and the available options are bypass
surgery and transmyocardial laser revascularization, TMR.
TMR is a procedure in which ten to forty 1mm channels are created in ischemic
heart tissues, where the number of channels made varies from patient to patient
based on their individual casesi. This procedure allows for oxygenated blood to
flow into the heart and will also result in revascularization the deoxygenated
heart tissuesi. This procedure was modeled using Gambit to create the mesh and
FIDAP to model the diffusivity of oxygenated blood into deoxygenated heart
tissue. The governing equations used to model the flow of oxygenated blood
through the channel and diffusion of the oxygen into the deoxygenated tissue
layer were the species and momentum equations. No reaction term was used in
the species equation because it was assumed there was no elimination of oxygen
by the tissue. A fully developed parabolic velocity profile was assumed in
conjunction with the momentum equation. The initial conditions included an
oxygen concentration of 0.2 ml 02/ml blood at the intake and 0.1 ml 02/ml blood
in the deoxygenated muscle. The boundary conditions consisted of a constant
zero flux at the top, left wall, right wall, and axis. The exit of the channel is free
as is the blood/muscle interface because FIDAP will solve for the 02
concentration based on the other parameters that were specified.
Based on this model, it is evident that oxygenated blood in the newly created
channels does diffuse into the deoxygenated heart tissue. Although there is
diffusion throughout the entire sample, the diffusion nearest the inlet is greatest
and decreases along the length of the channel and radially outward from the
channel as expected. In addition, the desired oxygen concentration, 80%
saturationvii, was achieved at the channel-tissue boundary but not within the
tissue layer. These results could be attributed to some of the assumptions that we
were forced to make in modeling the procedure due to the limitations of the
software in handling a two-phase model. However, with the optimal diameter
found, 1.4 mm, and a closer channel spacing, a more optimal diffusion profile
may be achieved.",,application/pdf,Project Report
oai:ecommons.cornell.edu:1813/130,In Vitro Scaffold Construction for a Bio-artificial Liver,"The main focus of this investigation is to design a scaffold that will accommodate a growing Bio-Artificial Liver (BAL) with oxygen. The two design objectives are to find the maximum length and the distance between the artificial capillaries of the scaffold to provide adequate oxygen supply above 1.98 x 10-19 g/um3 to prevent hypoxia to the growing liver tissues. By utilizing industrial modeling software, FIDAP and GAMBIT, a model of a single capillary with liver tissue attached directly was constructed to simulate the oxygen delivery by means of diffusion and convection from the capillary wall to the tissue and the uptake by metabolism. From the results obtained, it was concluded that diffusion, not convection of the oxygen flow within the capillary was the dominant process of oxygen transport throughout the tissue. The maximum distance traveled into the tissue with capillary length of 60 ?m was 147 ?m from the capillary at the inlet side of the tissue while diffusion at the outlet tissue was at a modest 108 ?m. These values are unacceptable for the feasible construction of oxygen transport system solely based on diffusion. Thus, this investigation concludes that novel methods of greater complexity are needed to construct a more efficient and economically applicable oxygen delivery system for the mass production of bio-organs.",,application/pdf,Project Report
oai:ecommons.cornell.edu:1813/129,Put Your Best Teeth Forward: A Mass Transfer Study of Crest Whitestrips,"Crest Whitestrips are thin, liquid films adhered to a plastic exterior that can be applied directly to the tooth, enabling mass transfer of its active ingredient, hydrogen peroxide, to penetrate the tooth outer layer. The tooth outer layer consists of enamel and dentin. The goal of this study was to model the concentration of hydrogen peroxide as it moves through the gel tooth outer layer for a period of 30 minutes. GAMBIT was used to create a two-dimensional mesh modeling the three layers through which the hydrogen peroxide diffuses through: the gel, enamel and dentin. FIDAP was then used to model the process in which hydrogen peroxide moved through these three layers. A sensitivity analysis was performed varying the diffusion coefficients and reaction rate of hydrogen peroxide being used up. It was found that accurate values for all of these properties must be obtained in order to determine an accurate solution.",,application/pdf,Project Report
oai:ecommons.cornell.edu:1813/131,The Risks of LASIK Corrective Eye Surgery: A Mass Transfer Approach to a Universal Concern,"The laser vision correction procedure, LASIK, requires a thin flap of the cornea to be created
by a microkeratome knife. The focus of this project was to study and quantify the moisture
loss from the tiny corneal flap using the concepts of mass transfer. Significant (10 fold)
moisture concentration differences between the bottom and top surface of the corneal flap
were observed, in conjunction with a strong dependence on the diffusivity of the flap as well
as the length of the procedure time. Outer edges of the flap suffered the most water loss.
Amount of moisture loss (85% in two minutes) in addition to the location(s) of ?dry spots?
were hypothesized to influence one of the few recurrent complications of LASIK, flap
misalignment.",,application/pdf,Project Report
oai:ecommons.cornell.edu:1813/136,Radiofrequency Ablation to kill Kidney Tumors,"Radiofrequency ablation is a technique to destroy tissue cells by heating them
above 460C. This method is specifically used in treating tumors smaller than 5 cm
in diameter by placing the heated probe within the dysfunctional tissue mass.
Depending on the size and shape of the tumor, the ideal time of treatment,
voltage, and shape of probe required to eliminate the cells is decided. This study
tested a spherical tumor with a 2 cm diameter to determine the best probe shape,
voltage, and time of treatment to destroy cancerous cells while keeping
surrounding tissue unaffected. Our results indicated that a lower voltage (0.27
volts) and a longer period of time (700 seconds) yielded the best results when
using a T-shaped probe. These results account for the diffusion of the heat within
the tumor cells while minimizing the damage to the surrounding tissue. Sensitivity
analysis indicated that specific heat and tissue density had very small impact on
the temperature profile.",,application/pdf,Project Report
