oai:ecommons.cornell.edu:1813/41431,"Characteristics, Motivations and Involvement of Trappers in New York",,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41432,Estimating the Economic Impact of Changing Water Levels on Lake Ontario and the St. Lawrence River for Recreational Boaters and Associated Businesses,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41433,Examining the Impacts of a Quality Hunting Ecology Program in Pennsylvania: Prebaseline Description of the Human Dimensions,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41434,Lake Ontario Islands Wildlife Management Area Preliminary Situation Analysis,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41435,Landowner-Hunter Interactions in Deer Management Unit 78: A Qualitative Study with Implications for Development of Hunting Accesss Incentive Programs,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41436,Educational Needs of Northern New York Woodland Owners As They Recover From The January 1998 Ice Storm,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41437,Value of Time Commercial Fishermen in Alaska Could Save with Improved Harbor Facilities,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41438,Management Response to Beaver Complaints: Defining Problems and Acceptable Solutions,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41439,Skill and Competency Requirements for Entry Level Employment in Forestry: Results of a Nationwide Study,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41440,"Impact of Water Quality on Recreationists' Use of East Sidney Lake, New York",,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41441,"Effects of a Suburban Deer Management Communication Program, with Emphasis On Attitudes and Opinions of Suburban Residents",,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41442,Preliminary Insights About the Sociocultural Importance of Hunting and Trapping,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
oai:ecommons.cornell.edu:1813/41443,Hooked on Fishing - Not on Drugs as a Stewardship Education Program: A Literature-based Program Review with Recommendations for Comprehensive Evaluation,,Click on the PDF for an Executive Summary and the full report. Visit the HDRU website for a complete listing of HDRU publications at: http://hdru.dnr.cornell.edu/,,Report
