oai:ecommons.cornell.edu:1813/352,"Water resources, agriculture and the environment.","In this article, water utilization by individuals and especially agricultural systems is analyzed. Interrelationships exist among population growth, water use and distribution, the status of biodiversity, the natural environment, plus the impacts of water borne human diseases are reported.",,application/pdf,Technical Report
oai:ecommons.cornell.edu:1813/648,"Collection development and management at Cornell : an interim report on activities of the Cornell University Libraries' project for collection development and management, July 1977-June 1979 ; prepared under a grant from the Andrew W. Mellon Foundation","This document covers the first year-and-a-half of the Cornell University Libraries' Project for Collection Development and Management and as such is primarily a statement of the issues that the the Library faced and the investigative design that Edelman proposed to address them.  The issues-- decline in acquisitions rates, concern over methodology for funds allocation, library space-- will seem remarkably contemporary.  Twenty-five years on, readers will be struck by the writers' confidence that all research library activity derived from the collections and that their description, evaluation and planning would, necessarily, improve services.",,application/pdf,Technical Report
oai:ecommons.cornell.edu:1813/649,"Collection development and management at Cornell : a concluding report on activities of the Cornell University Libraries' project for collection development and management, July 1979-June 1980, with proposals for future planning","Miller's work addresses two primary audiences, the Andrew W. Mellon Foundation, which funded the two-year study at Cornell, and the University's administrators, who would assess the extent to which they would underwrite the report's recommendations.  It lays out a series of activities that the library conducted to measure the Project's research design and makes specific recommendations for the organization, selection policy, budget control and planning of collection development at Cornell.  The report's scope and tone-- whose principal leitmotifs are limits, controls and bounds-- contrasts sharply with the optimism of the interim report, written two years earlier.",,application/pdf,Technical Report
oai:ecommons.cornell.edu:1813/692,"Peaking of Oil Production: Impacts, Mitigation, & Risk Management","The peaking of world oil production presents the U.S. and the world with an unprecedented risk management problem. As peaking is approached, liquid fuel prices and price volatility will increase dramatically, and, without timely mitigation, the economic, social, and political costs will be unprecedented.  Viable mitigation options exist on both the supply and demand sides, but to have substantial impact, they must be initiated more than a decade in advance of peaking.  This U.S. Department of Energy funded paper reports the problem of the peaking of world conventional oil production is unlike any yet faced by modern industrial society.  The challenges and uncertainties need to be much better understood. Technologies exist to mitigate the problem. Timely, aggressive risk management will be essential.",,application/pdf,Technical Report
oai:ecommons.cornell.edu:1813/1508,"The Northern Root-Knot Nematode on Carrot, Lettuce, and Onion in New York","Root-knot nematodes (Meloidogyne spp.) are major
pathogens of vegetables throughout the United States
and world, impacting both the quantity and quality
of marketable yields. In addition, root-knot nematodes
interact with other plant pathogens, resulting
in increased damage caused by other diseases. To
date, only the northern root-knot nematode (NRKN;
Meloidogyne hapla) has been found on vegetables
grown on organic or mineral soil in New York, as it
is able to survive the extreme low temperatures
during winter. The NRKN has a wide host range
consisting of more than 550 crop and weed species,
including weeds common to muck soils such as
dandelion (Taraxacum officinalis), purslane (Portulaca
oleracea), mallow (Malva rotundifolia) and
plantain (Plantago major). The increasing occurrence
and damage of this nematode to onions, lettuce,
and carrots grown on organic soils in New
York was recently documented.",,application/pdf,Technical Report
oai:ecommons.cornell.edu:1813/2101,Organic and Conventional Farming Systems: Environmental and Economic Issues.,,,application/pdf,Technical Report
oai:ecommons.cornell.edu:1813/2464,Development of a Drug Delivery System with a Constant Rate of Release,"You do not have to search long to find someone who is taking orally administered medication on a daily basis.  Pharmaceuticals such as antibiotics and pain relievers help us live healthier lives; however the administration of these drugs is more involved than simply the swallowing of a pill.  Maintaining a constant level of drug in the body is an important requirement for a variety of medications.  The more constant the rate of drug release from a pill, the more effective the drug will be.  Our model will compare different crater geometries to demonstrate the effect of crater shape on the release rate of a drug under human body conditions.   Our objective is to achieve a constant rate of drug release from a pill.    Analysis will demonstrate and allow us to conclude that a hemispherical crater geometry is best to accomplish this objective.  We were able to achieve a fairly constant rate of release after approximately 17 minutes and this situation would be beneficial for many pharmaceuticals compared to other, less constant drug delivery systems.",,application/msword,Technical Report
oai:ecommons.cornell.edu:1813/2710,Watershed modeling of the Cannonsville Basin using SWAT2000: Model,"This report describes the calibration and validation of a spatially 
distributed watershed model of the Cannonsville Reservoir Basin.  The Soil and 
Water Assessment Tool 2000 (SWAT2000) was selected as the watershed model.  A 
set of SWAT2000 inputs representative of the watershed conditions was derived 
from a wide array of data sources.  Important methods were developed for 
converting available information to SWAT2000 inputs for groundwater soluble 
phosphorus concentrations, initial soil phosphorus levels and daily manure 
application.   The Cannonsville Reservoir is a New York City water supply 
reservoir located in upstate New York that has historically experienced water 
quality problems associated with phosphorus loading.  As a result, the 
watershed has been subjected to multiple water quality regulations including a 
recent Total Maximum Daily Load (TMDL) assessment for phosphorus.  The 
reservoir watershed covers an 1178 km2 area and is dominated by agriculture, 
particularly dairy farming.  The SWAT2000 model of the Cannonsville Reservoir 
Watershed is a valuable tool that can be used to help identify and evaluate 
quantitatively the long-term effects of various phosphorus management options 
for mitigating loading to the reservoir. SWAT2000 was developed by the 
Agricultural Research Service of the United States Department of Agriculture.  
SWAT2000 simulates through time the daily soil water balance, growth of plants, 
build-up and subsequent transport of soil nutrients to surface waters in 
response to agricultural management practices.  The simulated mass balance of 
soil phosphorus in SWAT2000 is an important aspect of any watershed model that 
is to be used for regulatory purposes.  The authors modified a few of the SWAT 
model equations to better simulate measured flows, sediment loading and 
phosphorus loading during the winter. The model was calibrated and validated 
for the prediction of dissolved and particulate phosphorus transport, and 
therefore also flow and sediment transport, against a large set of monitoring 
data.  Extensive continuous flow and water quality data over a 10-year period 
from multiple locations within the basin were used for model calibration and 
validation.  Sensitive model parameters were adjusted within their feasible 
ranges during calibration to minimize model prediction errors for daily flows 
and monthly sediment and phosphorus loading.  At the main flow gauging station 
in the basin (Walton), draining almost 80% of the watershed, daily calibration 
resulted in model predictions of average flow within 1.0% of the measured 
average flow while the daily Nash-Sutcliffe (NS) measure was 0.79.  Daily 
validation results at Walton showed the model predicted average flow within 
4.5% of the measured average flow with a NS of 0.78.  At the main water quality 
gauging station in the basin (Beerston), just downstream of Walton, the 
calibration results showed the model predicted the average monthly sediment and 
total phosphorus loading within 3% and 6% of their respective measured average 
monthly loadings.  The monthly calibration NS values at Beerston for sediment 
and total phosphorus loading were 0.66 and 0.68, respectively.  Validation 
results at Beerston showed the model predicted the average monthly sediment and 
total phosphorus loading within 27% and 9% of their respective measured average 
monthly loadings.  The monthly validation NS values at Beerston for sediment 
and total phosphorus loading were 0.51 and 0.61, respectively.  The largest 
errors in model predictions for phosphorus and sediment loading were always 
associated with peak flow prediction errors. Model predictions were also shown 
to qualitatively replicate bi-weekly sampling of total phosphorus 
concentrations taken from 10 different locations across the watershed.  Model 
simulation results over the calibration and validation period (1990-2000) 
highlighted a number of useful findings.  The model predicted that 68% of the 
total phosphorus loading to surface waters in the watershed originates from 
active agricultural lands.  Corn land use was simulated as the major source of 
agricultural phosphorus loading even though it covered only 1.2% of the 
watershed area.  Areas North and East of the Town of Delhi tended to have the 
largest rates of phosphorus loading per unit area.  Areas immediately 
surrounding the Cannonsville Reservoir that are not monitored were simulated to 
have substantially lower non-point source phosphorus (NPS) unit area loading 
rates than the monitored portion of the watershed.",,application/pdf,Technical Report
oai:ecommons.cornell.edu:1813/2712,Franz Reuleaux: Contributions to 19th C. Kinematics and Theory of,"This review surveys late 19th century kinematics and the theory of 
machines as seen through the contributions of the German engineering scientist, 
Franz Reuleaux (1829-1905), often called the ""father of kinematics"". Extremely 
famous in his time and one of the first honorary members of ASME, Reuleaux was 
largely forgotten in much of modern mechanics literature in English until the 
recent rediscovery of some of his work. In addition to his contributions to 
kinematics, we review Reuleaux's ideas about design synthesis, optimization and 
aesthetics in design, engineering education as well as his early contributions 
to biomechanics. A unique aspect of this review has been the use of Reuleaux's 
kinematic models at Cornell University and in the Deutsches Museum as a tool to 
rediscover lost engineering and kinematic knowledge of 19th century history of 
machine.",,application/pdf,Technical Report
oai:ecommons.cornell.edu:1813/2713,How it was to study and to teach mathematics in Cornell at the end of,"Cornell University's Kroch Library Rare Book and Manuscript Division 
has a collection called ""Department of Mathematics records 1877-1976"". It was 
used already as case studies of the emergence of mathematical research at 
Cornell University in several publications; but I will talk about my experience 
going through these records and trying to imagine what mathematics students had 
learned before entering Cornell University (looking at entrance exams they were 
given). The earlier publications reported that mathematics entrance 
requirements to Cornell ""were minimal by today's standards"" but I found that 
this was not the case.  Many of the students taking the entrance exams were 
engineering students. At that time the Reuleaux kinematic models collection was 
used to bring mathematical ideas into engineering curriculum. Preliminary 
report partially supported by National Science Foundation's National Science, 
Technology, Engineering, and Mathematics Education Digital Library (NSDL) 
Program under grant DUE-0226238.   (Based on a talk given at AMS- MAA Joint 
Conference Special Session in History of Mathematics, January 18, 2003, 
Baltimore.)",,application/pdf,Technical Report
