oai:ecommons.cornell.edu:1813/96,"""One Vision, Many Voices: First Year Diversity Initiative"" featuring the Cornell Interactive Theater Ensemble's presentation of ""Being Antigone.""","This video documents ""One Vision, Many Voices"", Cornell's annual orientation program for first year students, which augments the Provost's First Year Reading Project. CITE's interactive scenario, ""Being Antigone"", contemporizes themes and relationships from Sophocles' Antigone, the text for the '03 Reading Project.  The interactive theatre medium stimulates dialogue from multiple points of view about how to listen to and learn from one another when we profoundly disagree. All first year students attend the program during the first three weeks of the semester.  For more information about the scenario and the program's ""learning points"", see the attached document ""Introduction_to_CITE""...
About CITE:  www.arts.cornell.edu/cite ...
PRESENTERS:  Opening Speaker: Erica Kagan;  
CITE Facilitator:  Vivian Relta;  
CITE Actors: Patrick Reynolds, Kimberly Brown, Martha Dewey, Dane Cruz. 
CITE Stage Director: Greg Bostwick;  
Closing Speaker: Robert L. Harris, Jr. ...
SPONSORS of ""One Vision, Many Voices"":  
Vice Provost for Undergraduate Education: Isaac Kramnick; 
Vice Provost for Diversity and Faculty Development: Robert L. Harris, Jr.; 
Dean of Students: Kent Hubbell; 
Vice President of Student and Academic Services: Susan Murphy ...
COORDINATORS of ""One Vision, Many Voices"":  Dean of Students Office: Ednita Wright, Lynn Delles;  Community Development: Don King, Anu Lyons, Beth O'Neill; Robert Purcell Community Center: William Horning ...
VIDEO PRODUCTION: 
Cornell Information Technologies [CIT] Distributed Learning Services ...
CONTACT:  CITE Administrative Director: Dane Cruz  Telephone: 607- 254-8851   Email:  dcc16@cornell.edu",,video/quicktime,Video
oai:ecommons.cornell.edu:1813/97,Nonlinear dynamics and chaos: Lab demonstrations,"This video shows six laboratory demonstrations of chaos and
nonlinear phenomena, intended for use in a first course on nonlinear
dynamics.  Steven Strogatz explains the principles being illustrated and
why they are important.  The demonstrations are: (1)  A tabletop
waterwheel that is an exact mechanical analog of the Lorenz equations, one
of the most famous chaotic systems; (2) A double pendulum, a paradigm of
chaos in conservative systems; (3) Airplane wing vibrations and
aeroelastic instabilities, as exemplars of Hopf bifurcations; (4)
Self-sustained oscillations in a chemical reaction; (5) Using synchronized
chaos to send secret messages; and (6) Composing musical variations with a
chaotic mapping.  Strogatz is joined by his colleagues Howard Stone, John
Dugundji, Irving Epstein, Kevin Cuomo, and Diana Dabby.",,application/pdf,Video
oai:ecommons.cornell.edu:1813/197,Being Eisenman: Peter Eisenman '54,"This video is a highly personal account of Eisenman's life and work told by alumnus Peter Eisenman'54, created in celebration of his 50th Cornell Reunion. Vintage pictures from Eisenman's years at and right after Cornell, as well as recent video taken of Professor Eisenman teaching at Yale, overlay the narration by Eisenman. Brief comments by nine of his well-known colleagues and friends in the architectural field, including Cornell architect and friend Richard Meier'56, are interspersed throughout the riveting story he shares about his Cornell years, the years following Cornell, and his current work as head of his NYC firm, Eisenman Architects.",Length of Video: 21 min,text/html,Video
oai:ecommons.cornell.edu:1813/229,"Portrait of a Cornell Artist: Elsie Dinsmore Popkin, BFA'58","This video about pastel artist, Cornell alumna Elsie Dinsmore Popkin, BFA '58, is an entertaining narrative by the artist of her life while an art student at Cornell in the mid-1950's. This video has the artist describing how she creates her art, and shows her current work displayed in the NYC Uptown Gallery as well as her recent exhibition at the Herbert F. Johnson Museum of Art created from the 5th floor of the Museum while looking up Lake Cayuga, as well as looking down upon the beautiful Cornell campus as the seasons changed. Created in 2003, on the occasion of her 45th Reunion, this video includes vintage photos from her years at Cornell, as well as recent video taken of Popkin creating her floral pastels in the Cornell Plantations.",Length of Video: 12 min.,text/html,Video
oai:ecommons.cornell.edu:1813/2489,Spatial SQL,,,video/mpeg,Video
oai:ecommons.cornell.edu:1813/3461,Journey from Sibley: Jill Lerner '75,"This video features Cornell-educated architect and University Trustee Jill Lerner '75, B Arch '76, a Principal at the architectural firm, Kohn Pedersen Fox Architects ( KPF.) Created in honor of her 30th Reunion in June 2005, the video is illustrated with vintage photos of Jill's days on the hill, her friends in college, and her dance performances. Jill is heard describing why she selected Cornell, telling about her years as an architecture student as well as an serious dance student and performer, and explaining her work at KPF. Her story is interspersed with brief commentary from Cornell classmates and friends, her family, and from founding KPF Principals, Gene Kohn and Bill Pedersen. Additionally, Jill describes why her Alma Mater has come to play such a significant role in her life in recent years and her election to the Cornell Board of Trustees for a four year term starting in July 2005.",Length of Video: 17 min,text/html,Video
oai:ecommons.cornell.edu:1813/3462,True Big Red: Professor Don Greenberg '55,"This video featuring Don Greenberg '55, Cornell's Jacob Gould Schurman Professor and creator and Director of the Program of Computer Graphics, was produced in honor of his 50th Reunion. Don's True Big Red story unfolds with his narration about his Cornell legacy; his years as an undergraduate; his forty years of Cornell teaching in Architecture, Art, and Planning, the Johnson School, and the Engineering College; his athletic prowess which continues in his 70's; his love for the life he leads overlooking Lake Cayuga. Using vintage photos, as well as comments from family, friends, classmates, colleagues, and former Cornell Presidents Corson and Rhodes, this video explains why Don Greenberg deserves to be known as a Cornell ""legend.""",Length of Video: 32 min,video/quicktime,Video
oai:ecommons.cornell.edu:1813/3758,Credits for Animal Reproduction DVD,"Credits for DVD ""Animal Reproduction"".",,video/quicktime,Video
oai:ecommons.cornell.edu:1813/3759,Animal Reproduction DVD: Introduction,"This is the Introduction to the DVD: ""Animal Reproduction: Refelections by Robert H. Foote"".",,video/quicktime,Video
oai:ecommons.cornell.edu:1813/3938,Big Red/Meier white: A Cornell story of architect Richard Meier '56,"This video features Cornell-educated architect Richard A. Meier, class of 1956, founder of the architectural firm Richard Meier & Partners Architects. Created in honor of Meier's 50th Reunion in June 2006, the video is illustrated with vintage photos of Meier's days on the hill, his friends in college, his family, and his earliest projects including his first houses. Meier is heard describing why he selected Cornell, telling about his years as an architecture student as well as his friendships with ZBT fraternity brother Marc Meshorer and Profs Arch and Esther Dotson for whom he did an  Ithaca house very early in his career. There is spectacular video footage of his most famous work, the billion dollar Getty Center, combined with voice-over from a 1992 Cornell University lecture by Meier in which he describes his architecture. Meier and architect Peter Eisenman '54 describe the origin of The New York Five (The Whites.) Meier's continued connection to Cornell is described with mention of the design of the new Cornell Life Science Technology Building and with brief commentary and appearances from his Cornell architecture classmates, fraternity brothers, and Cornell friends.",Length of Video: 33 min,image/jpeg,Video
oai:ecommons.cornell.edu:1813/7640,"BEE Picnic (July 08, 2002)","This is a video snapshot of the BEE Department Picnic of July 08, 2002.",,video/quicktime,Video
oai:ecommons.cornell.edu:1813/7870,Natural Rendering: Composting Livestock Mortality & Butcher Waste - Video,,Produced by Insights International,video/quicktime,Video
oai:ecommons.cornell.edu:1813/8218,Animations from PDF Model Calculations of a Lifted Hydrogen Flame,,,video/mpeg,Video
oai:ecommons.cornell.edu:1813/8238,A Priority-Based Decision Model Demonstrated with Two-On-Two Robot Soccer,"These videos are archived here to be referenced by current and future publications of the authors. What they demonstrate is a framework for mission-oriented robot control that seems to suggest a promising direction for managing the complexity of encoding control policies. This framework also establish a natural connection between feedback control and planning. The videos show that when this framework is applied to the domain of robot soccer, the resulting system competed at par in a simplified game setting against a former championship team in the International
RoboCup Competition.",,application/octet-stream,Video
oai:ecommons.cornell.edu:1813/8294,The Case for a Primary Diplomatic Relationship with China,"The Honorable Mark Kirk, Cornell class of '81, presented his thoughtful and provocative views on 'The Rise of China' in a November 8, 2004 lecture in Alice Statler Auditorium at Cornell University. Kirk has been named by the Congressional Quarterly as one of the emerging leaders of Congress.

The Cornell History Department and the East Asia program sponsored this visit, Professor Walter LaFeber,Tisch Distinguished University Professor, introduced the speaker.",,video/quicktime,Video
oai:ecommons.cornell.edu:1813/8295,Dale Corson's Induction into the Cornell Center for Materials Research Hall of Fame,"On December 1, 2004 President Emeritus Dale Corson was inducted as the second member of the new Hall of Fame being created by the Cornell Center for Materials Research in Clark Hall. Carson, who joins the founding Director Robert L. Sproull in the Hall of Fame, was instrumental in the creation of the Center. Also present for this event were President Lehman and Presidents Emeriti Hunter Rawlings and Frank Rhodes.  The video includes speeches by President Lehman and Vice-Provost for Research Robert C. Richardson, whose Nobel Prize work in low-temperature physics was done in the Center. Professor Neil Ash croft, former Center Director, was moderator for the ceremony.",,image/gif,Video
oai:ecommons.cornell.edu:1813/8309,"Tribute (#11) to Hans Bethe by Saul A. Teukolsky from Celebrating ""An Exemplary Life""","This is the tribute to Hans Bethe by Prof. Saul A. Teukolsky, Physics Department 
Chair, Cornell University, given on September 18, 2005 at the Statler Auditorium at Cornell University.",,video/quicktime,Video
