oai:ecommons.cornell.edu:1813/3391,Participatory Feminsim (PARFem),"Given that Participatory Action Research (PAR) and Feminisms (Fem) share ""process"" as one of the fundamental principles in their philosophy and practice, we can only set the preliminary goal and objectives of the PARticipatory FEMinism Web Site (PARFem).
This web site allows access to the following documents:

1.A Reader, ""Selected Writings on Feminisms and Action Research,"" Prepared by Monica Ruiz-Casares and Nimat Hafez Barazangi

2.A Case Study, ""Muslim Women in North America"" (Audio) wherein Nimat Hafez
Barazangi, based on her collaborative research, discusses the challenges facing American Muslim women in search of identity.

3.An electronic Bibliographic list, ""Selected Writings on Feminisms and Action Research,"" compiled by Monica Ruiz-Casares (You may add/update any existing reference).

4.A video tape,""Feminisms and the Academy - Going Out of Business,"" by Patricia Maguire.

5. Another Case Study, A video tape, ""The Logic and Practice of the Participatory Action Research Paradigm,"" by Yoland Wadsworth. 

6.A working paper, ""Future of social sciences and humanities in corporate universities: Curricula, exclusions, inclusions, and voice,"" by Nimat Hafez Barazangi. 

7.A link to the discussion of the conference theme, ""Feminisms and the Academy - Going Out of Business,"" and to the bibliography theme.","This web site is intended to be interactive. We invite participants to contribute their work at the appropriate category.  See also: www.eself-learning-arabic.cornell.edu, www.einaudi.cornell.edu/parfem.",application/pdf,Web Resource
oai:ecommons.cornell.edu:1813/8232,Annual Report 2005 - Halls of Preeminence: Research at Cornell,"The state of research at Cornell remains vibrant and vital. This report deals with an issue of significant national importance: the role of the research university in the nation?s economic health.
The report recommends actions that should be taken by U.S. industry and federal agencies, but much of the fundamental remediation needs to occur in our K-12 schools and universities. Our scientific workforce and teaching corps are woefully inadequate, and our university base for performing basic research is underfunded. Many thoughtful economists estimate that about half of U.S. economic growth since World War II has been the result of technological innovation following research. Without a significant renaissance in our own national ability to innovate, the United States is likely to fall further behind other nations.
At Cornell we intend to make significant contributions to the solution of one of the most difficult national problems, which has special national urgency: the development of new energy sources. We have initiated a broad range of new programs, ranging from the development of biofuels to fundamental studies of catalysis at surfaces of fuel cells. The nascent studies in energy research can be found in most of our colleges.
With a unique range of research--in agriculture; ultrahigh technology; medicine; and humanistic, social, and economic studies--across 16 colleges and divisions, Cornell will continue to make distinctive, tangible contributions of far-reaching national importance.",,text/html,Web Resource
oai:ecommons.cornell.edu:1813/8233,"Connecting with Cornell volume 19, issue 2 (Fall 2006): Collisions of the Smallest Kind: Cornell's Accelerator-based Sciences","The red brick columns face an unassuming parking lot on Campus Road across from Alumni Fields. One might write them off as part of Cornell's physical plant until walking past and seeing the words, Wilson Synchrotron Laboratory. Curiosity takes hold: what happens inside the columns? Entering a column from the street puts you on the fifth floor, faced only by an elevator that provides the ride down. Then you realize it's what takes place beneath the ground, under Alumni Fields, that matters. The journey is into the world of particle physics and x-ray science. Here is a look inside as Cornell scientists tell stories of collisions of the smallest kind and the most dazzling beams of light.",,text/html,Web Resource
oai:ecommons.cornell.edu:1813/12286,Library Technical Services Web Site Archive (tsweb),This is an archival copy of the CUL Technical Services Web Site (formerly known as tsweb and previously available at www.library.cornell.edu/tsweb).,"Archive was generated using HTTRACK, an open source product (c) 2006 Xavier Roche & other contributors. The Archive is dated Fri, 01 May 2009 12:53:15 GMT",,Web Resource
oai:ecommons.cornell.edu:1813/13035,Graphics Conservation Laboratory (Web Page),This web page describes the activities of the Graphics Conservation Laboratory (1987-2009) at Cornell University Library. The laboratory provided conservation and teaching services to Cornell University for over twenty two years. Links to some notable student projects are included in the site.,This web page was converted to PDF by Adobe Acrobat on 11 June 2009 13:11 EDT.,,Web Resource
oai:ecommons.cornell.edu:1813/14187,Digital Content Delivery Platforms Web Archive,"The Web Archive of the Digital Content Delivery Platforms Forum contains presentations that facilitated the discussion of content software and system issues. The Forum facilitated information sharing among the Library staff involved in DCDP technical development, management, and decision-making.  The Forum expanded the understanding of the commonly used CUL platforms, such as DLXS, DPubS, DSpace, ENCompass, Luna, and GreenStone.
The Forum created a technical knowledge base to facilitate selection and assessment of DCDPs, and it advocated the assessment of existing platforms and forcasted new developments.  Its intent was to promote the creation of integrated digital collections and develop best practices, guidelines, requirements.  The Forums were held regularly with a focus on a specific platform or delivery technology/standard to share experience and information. This archive covers the period from 2003-2007.",,,Web Resource
oai:ecommons.cornell.edu:1813/14217,"Annual Report 2006 - Distinctive, Dynamic Cutting-Edge: Research at Cornell","The past year has been highlighted by progress on numerous fronts across the university. Energies of faculty, staff, and students have been directed toward new ideas, new actions, and new facilities. It has been a time of renewal and a time to look to the future. Because of its unique history and capabilities, Cornell is strategically positioned to compete successfully for funding in basic and translational sciences. Following are examples to emphasize the competitive position we have established.

Cornell’s distinguished history in the physical sciences, engineering, and computational sciences sets the tone for the future. Planning for the Energy Recovery Linac (ERL) is well under way with support from the university, state, and federal government. The ERL is a new x-ray source based on accelerator physics and superconducting microwave technology that will be about 1,000 times brighter than current machines. This facility will be valuable for research in biology, medicine, and materials science, as well as nanotechnology and new areas of science that will be critical to our national competitiveness. Strategic planning for the physical sciences building (to support investigators in chemistry and chemical biology, physics, and applied and engineering physics) and Gates Hall (for computing and information sciences) is progressing, as well.",,,Web Resource
oai:ecommons.cornell.edu:1813/14218,Annual Report 2007 - Emerging Dimensions: Research at Cornell,"The imagination and energy of the Cornell faculty are impressive. Because of the faculty’s peerless drive, Cornell is witnessing a broadening of its already rich, distinctive legacy in the physical sciences and engineering, and at the same time, an expanding preeminence in the life sciences and computational sciences. There is also growing strength in the social sciences and humanities. The university has made several key hires in these areas, enhancing our ability to forge new directions. We are particularly proud of our young faculty. Cornell received more career awards than any other university. We are number one in the National Science Foundation (NSF) Faculty Early Career Development Program awards and in NSF's Presidential Early Career Award for Scientists and Engineers (PECASE). This is an excellent indicator of the strength of Cornell's young faculty and the bright future ahead.",,,Web Resource
oai:ecommons.cornell.edu:1813/14220,"Connecting with Cornell volume 20, issue 1 (Spring/Summer 2007)","In this issue of Connecting with Cornell, researchers reveal much about things that fly. Faculty researchers tell us fascinating stories of their discoveries about how bats walk, how songbirds learn their songs, how dragonflies fly, the beauty of butterflies, the avian flu virus, and the benefits of using a certain species of wasp as a biological pest control. Student researchers tell us about their studies on the mating habits of butterflies and on mosquitoes as vectors of dengue fever and West Nile virus. They share how these research experiences broadened their academic experiences and helped with career decisions.

The Cornell Lab of Ornithology reaches out to the international community with many engaging activities and scientific resources. The Weill Cornell Medical College spins off a successful company that studies and applies metabolomics to better diagnostics and disease treatment. We also learn how Cornell is at the forefront of caring for animals in its research and teaching programs on the Ithaca campus.",,,Web Resource
oai:ecommons.cornell.edu:1813/14221,"Connecting with Cornell volume 21, issue 1 (2008)","One of Cornell’s greatest assets is its ability to foster an interdisciplinary research culture. That culture is seen at work in this issue of Connecting with Cornell as it spans the 230 miles between the Cornell-Ithaca and Weill Cornell Medical College campuses. What makes this issue special is that we see not only how Cornell faculty bridge the distance between the two campuses but also how the university nurtures collaborations and exciting new results unfold. Cutting-edge research and innovative approaches to teaching undergraduate and graduate students evolve as Cornell broadens its interdisciplinary culture. Surgeons and engineers look for solutions to problems such as wound healing and tissue engineering. Social scientists and physicians search for ways to help alleviate some of the problems in global health. Life scientists and physicians study some of the world’s most vexing diseases. Physicians and social scientists work on problems associated with aging. Engineers and radiologists concentrate on CT imaging as preventive measures for diseases. Cornell-Ithaca and Weill Cornell Medical College faculty develop new courses and research experiences for students on both campuses. As the Cornell faculty seek solutions to problems in human health, a new array of collaborations opens up new directions in research, teaching, and outreach for the benefit of human health.",,,Web Resource
